brocade.id,ResourceID,card,order,Archive Note,Serial Number,Acquisition Note,adm.note,Registration Number value,Location Number,Warehouse Location (begin),Warehouse Location (ende),adm.note.language,adm.note.type
tg:lhdc:3721,c5db2aef-7be7-5a21-9146-0c4b9cde508c,Items,1,isad:lh:179321,R 134 / 3103,,,,,,,Nederlands,remarks
tg:lhdc:2833,294454d0-be4b-54ae-92e9-6da58a5fdd5f,Items,1,isad:lh:179103,R 134 / 2223,,,,,,,Nederlands,remarks
tg:lhdc:729,a043845f-7554-5ff0-9205-b645bb32caed,Items,1,isad:lh:174445,R 134 / 259,,,,,,,Nederlands,remarks
tg:lhdc:3371,17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,Items,1,isad:lh:179114,R 134 / 2757,,,,,,,Nederlands,remarks
tg:lhdc:683,f90aee64-fa2e-5c5e-beca-16af546e9bdf,Items,1,isad:lh:174445,R 134 / 214,,,,,,,Nederlands,remarks
tg:lhdc:2999,fc51f64c-6faa-5946-b18e-64976edf9643,Items,1,isad:lh:179106,R 134 / 2388,,,,,,,Nederlands,remarks
tg:lhdc:2130,adac8886-4115-53ba-a5e9-e97f1cbeecb6,Items,1,isad:lh:174020,R 134 / 1546,,,,,,,Nederlands,remarks
tg:lhdc:2560,8e73840d-ac58-587b-b2db-ae1081b28992,Items,1,isad:lh:178530,R 134 / 1957,,,,,,,Nederlands,remarks
tg:lhdc:2075,b6e13194-eff2-58b9-a59e-60cfe66a3091,Items,1,isad:lh:178687,R 134 / 1492,,,,,,,Nederlands,remarks
tg:lhdc:2425,181ceed4-eaff-5bd2-b8e4-36ec55a0c248,Items,1,isad:lh:178530,R 134 / 1822,,,,,,,Nederlands,remarks
tg:lhdc:3664,1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,Items,1,isad:lh:179320,R 134 / 3046,,,,,,,Nederlands,remarks
tg:lhdc:1659,b0927ea5-92c6-5720-af4d-1332e48ba275,Items,1,isad:lh:174447,R 134 / 1086,,,,,,,Nederlands,remarks
tg:lhdc:2976,06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,Items,1,isad:lh:179106,R 134 / 2365,,,,,,,Nederlands,remarks
tg:lhdc:396,b7413771-a7fa-596e-a06c-03d3ae9a0146,Items,1,isad:lh:130216,D 9653 / 47,tr:lh:126473,,,,,,Nederlands,remarks
tg:lhdc:3234,93ffcee9-3198-5991-8a1f-f4bd6de1aca1,Items,1,isad:lh:179111,R 134 / 2620,,,,,,,Nederlands,remarks
tg:lhdc:1209,fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,Items,1,isad:lh:174437,R 134 / 671,,,,,,,Nederlands,remarks
