ResourceID,brocade.id,card,source_date,Copyright Revision Date,Copyright Type
b40a3314-d12e-5182-b572-f9b4c6a3b02e,tg:rubgr:53,e73_Copyrights,1955-10-05,2070-10-05,In Copyright
1fa17693-cbd8-5182-93f6-14a1b39ad5f6,tg:rubgr:2298,e73_Copyrights,1956-uu-uu,2071-uu-uu,In Copyright
95ab0658-9ace-56ec-9feb-cdf971f8c4f5,tg:rubgr:2359,e73_Copyrights,1974-uu-uu,2089-uu-uu,In Copyright
1c79fab5-84da-5f36-b982-24f79a4e6dd9,tg:rubgr:2366,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
2d87282f-cc45-5ed7-8873-2a64b5bf17b3,tg:rubgr:708,e73_Copyrights,1953-07-03,2068-07-03,In Copyright
b9f43f2b-27dd-50d8-b2e9-7b8d565bed3b,tg:rubgr:375,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
8d3cf0d6-0b93-5d81-b4be-458585bdd21a,tg:rubgr:52,e73_Copyrights,1955-10-05,2070-10-05,In Copyright
a7642c59-ff93-588a-9729-84a045f10181,tg:rubgr:2686,e73_Copyrights,1976-05-13,2091-05-13,In Copyright
38937fca-468d-5ca4-aa57-569520ea0c06,tg:rubgr:2415,e73_Copyrights,1961-09-06,2076-09-06,In Copyright
99bfa22e-3078-53b7-81cf-9a1742817766,tg:rubgr:2317,e73_Copyrights,1978-uu-uu,2093-uu-uu,In Copyright
7ad9e225-a8f2-5c48-a589-d217c7fe1728,tg:rubgr:179,e73_Copyrights,1953-06-17,2068-06-17,In Copyright
9950af38-4752-5899-a524-e94e8ad9da60,tg:rubgr:1150,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
a4dc60eb-db7a-5a7f-b527-e969ebae5dcc,tg:rubgr:51,e73_Copyrights,1955-06-01,2070-06-01,In Copyright
9930ba41-eedf-586f-b895-260dcd4b0f41,tg:rubgr:349,e73_Copyrights,1958-08-28,2073-08-28,In Copyright
2194ea8b-0a85-503f-9eee-e9972556acda,tg:rubgr:1546,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
a88518c4-e145-5ce7-892c-68b6bca6cbed,tg:rubgr:1182,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
7b747166-e6dc-54ae-8bb5-3d846ae8688e,tg:rubgr:2668,e73_Copyrights,1968-08-15,2083-08-15,In Copyright
2d12f68e-49c7-5d45-b8c0-8204faace167,tg:rubgr:4115,e73_Copyrights,1971-09-09,2086-09-09,In Copyright
ff824a8e-6eb1-53ee-bf5c-9ca5114c653f,tg:rubgr:180,e73_Copyrights,1953-07-02,2068-07-02,In Copyright
22671933-0ed5-578a-87c8-7988aeed42f8,tg:rubgr:174,e73_Copyrights,1953-12-18,2068-12-18,In Copyright
d965a64b-85ab-5e78-b762-4c221c978b56,tg:rubgr:54,e73_Copyrights,1966-05-17,2081-05-17,In Copyright
a6129116-cc96-5326-abdb-57eff3ec2259,tg:rubgr:3340,e73_Copyrights,1956-11-10,2071-11-10,In Copyright
8434075d-07c1-5f2c-9477-94eca1f4ea0c,tg:rubgr:1890,e73_Copyrights,1956-12-05,2071-12-05,In Copyright
eeca19a5-c28c-50f1-84dd-48e03620d129,tg:rubgr:55,e73_Copyrights,1966-05-17,2081-05-17,In Copyright
3730dbde-aca7-51a7-9219-9e74cba34c7c,tg:rubgr:2384,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
ecd10fbe-04eb-5005-805b-d8ef18e05da3,tg:rubgr:2235,e73_Copyrights,1960-06-04,2075-06-04,In Copyright
83eba31a-fb9a-50b3-a740-38e1a8c698a6,tg:rubgr:2153,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
cafb098b-c775-5106-a890-a60c5396815a,tg:rubgr:1239,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
70b737b4-71f7-5d9b-9480-3f4d993993c2,tg:rubgr:182,e73_Copyrights,1953-06-17,2068-06-17,In Copyright
6eb526a7-3a4e-5460-8230-d9b96ed1ec39,tg:rubgr:2682,e73_Copyrights,1975-12-22,2090-12-22,In Copyright
f76b6914-8bd7-5405-bf57-af80c1dabb98,tg:rubgr:226,e73_Copyrights,1965-11-26,2080-11-26,In Copyright
55bd0770-8d2f-5309-a553-ad2ddeda8161,tg:rubgr:1637,e73_Copyrights,1953-11-03,2068-11-03,In Copyright
5a81fd79-7a83-58da-a355-45475dfda061,tg:rubgr:2447,e73_Copyrights,1953-09-03,2068-09-03,In Copyright
90d27da2-694b-5040-9044-15da4ab3cf81,tg:rubgr:1848,e73_Copyrights,1954-07-29,2069-07-29,In Copyright
