ResourceID,brocade.id,card,order,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record
675ad524-cfb6-5d06-9684-ac3f31dd37ec,tg:rubgr:3776,AssociatedRecords,1,relatie naar geheel,tg:rubgr:3773,Verwijzing naar Grossmann object,,be415676-bbca-5af1-b0e7-badbf3214ca4,"[{""resourceId"": ""be415676-bbca-5af1-b0e7-badbf3214ca4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5d377e12-7b73-4603-8570-9c59c39f6694"", ""inverseOntologyProperty"": """"}]"
e5ecf9b6-1d4c-50c9-95e6-1013d54013e5,tg:rubgr:142,AssociatedRecords,1,relatie naar geheel,tg:rubgr:127,Verwijzing naar Grossmann object,,4408f47c-0982-5920-8895-398bac985ada,"[{""resourceId"": ""4408f47c-0982-5920-8895-398bac985ada"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5d1d9ae6-9e43-466f-b462-96c0da5e0e1d"", ""inverseOntologyProperty"": """"}]"
5793d084-6d19-50ab-ab38-f08121b1073b,tg:rubgr:5122,AssociatedRecords,1,gerelateerd onderdeel,tg:rubgr:5126,Verwijzing naar Grossmann object,,fe6a2131-62d0-5b0e-b0df-0da7b44ce2db,"[{""resourceId"": ""fe6a2131-62d0-5b0e-b0df-0da7b44ce2db"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f27a6aa8-c59e-4cc5-9d00-35b771b2f506"", ""inverseOntologyProperty"": """"}]"
dc371fd6-36b1-5690-be18-81dccbaa9287,tg:rubgr:2599,AssociatedRecords,1,relatie naar geheel,tg:rubgr:2593,Verwijzing naar Grossmann object,,67a61421-30e6-5319-9c01-f8b165bc9f9c,"[{""resourceId"": ""67a61421-30e6-5319-9c01-f8b165bc9f9c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bc3633bd-2ab5-455f-b54c-0ddd34273289"", ""inverseOntologyProperty"": """"}]"
f09d1fb6-af76-596a-b722-0c1f52f567b0,tg:rubgr:553,AssociatedRecords,1,relatie naar geheel,tg:rubgr:550,Verwijzing naar Grossmann object,,9da3c82c-b155-5761-bb47-3967218479fa,"[{""resourceId"": ""9da3c82c-b155-5761-bb47-3967218479fa"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b5f72586-b1db-468a-a892-2f871d48781e"", ""inverseOntologyProperty"": """"}]"
0ba17f58-abe3-5f39-9ded-a3ada2b01f2f,tg:rubgr:1136,AssociatedRecords,1,relatie naar geheel,tg:rubgr:1132,Verwijzing naar Grossmann object,,92c376c2-d03c-52e7-b7ac-a58dbff0a2d8,"[{""resourceId"": ""92c376c2-d03c-52e7-b7ac-a58dbff0a2d8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""08eb99bb-e99a-4c0f-8bc1-10e21a6b41f1"", ""inverseOntologyProperty"": """"}]"
0ba17f58-abe3-5f39-9ded-a3ada2b01f2f,tg:rubgr:1136,AssociatedRecords,2,relatie naar geheel,tg:rubgr:1135,Verwijzing naar Grossmann object,,f1dd50f0-1561-559f-a66d-5de82dadc5c7,"[{""resourceId"": ""f1dd50f0-1561-559f-a66d-5de82dadc5c7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2b9d5f1a-9f0e-40be-8401-eb79d6f25607"", ""inverseOntologyProperty"": """"}]"
b5ba90dd-edf5-5023-8135-90d87cd5b893,tg:rubgr:3808,AssociatedRecords,1,relatie naar geheel,tg:rubgr:3773,Verwijzing naar Grossmann object,,be415676-bbca-5af1-b0e7-badbf3214ca4,"[{""resourceId"": ""be415676-bbca-5af1-b0e7-badbf3214ca4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9f3afebe-5b7d-4fdd-8d69-673f18e41107"", ""inverseOntologyProperty"": """"}]"
0a29270b-6c2e-5b0b-a9c6-5f039e0f246a,tg:rubgr:2624,AssociatedRecords,1,relatie naar geheel,tg:rubgr:2623,Verwijzing naar Grossmann object,,5ebc1af1-6741-5c19-8989-feb3ccfbe05e,"[{""resourceId"": ""5ebc1af1-6741-5c19-8989-feb3ccfbe05e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e347a5a-ac2e-495b-a4f0-fbb2702d0e72"", ""inverseOntologyProperty"": """"}]"
0faebee2-98b4-5dd3-97bf-77e6461137b6,tg:rubgr:20,AssociatedRecords,1,gerelateerd onderdeel,tg:rubgr:19,Verwijzing naar Grossmann object,,f635780a-a7eb-5777-ab47-4b7edfce1103,"[{""resourceId"": ""f635780a-a7eb-5777-ab47-4b7edfce1103"", ""ontologyProperty"": """", ""resourceXresourceId"": ""433fee6d-fc2a-41a4-9c56-89705d0109b0"", ""inverseOntologyProperty"": """"}]"
