ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type
9d525e3a-769d-51b3-825d-7b620210bb1d,tg:lhdc:21_#1,e22_AcquisitionNumbers,1,225272/2916,aanwinst nummer
ac2692c1-bcb9-555c-a833-b6a88a58d287,tg:lhdc:531_#1,e22_AcquisitionNumbers,1,109027,aanwinst nummer
330266dd-62a7-5d90-80bf-13c72a862ef2,tg:lhdc:4811_#1,e22_AcquisitionNumbers,1,236786,aanwinst nummer
f3d7368e-581f-51e7-a721-c7812e8a95ed,tg:lhdc:53_#1,e22_AcquisitionNumbers,1,225272/2942,aanwinst nummer
dc213cde-3300-5416-948c-06ed49960ec6,tg:lhdc:43_#1,e22_AcquisitionNumbers,1,225272/2933,aanwinst nummer
9e3b5960-d92a-535a-b232-c0b1c02c58fa,tg:lhdc:4790_#1,e22_AcquisitionNumbers,1,236855,aanwinst nummer
43f75eb6-9569-5be3-ad84-e0495f654d46,tg:lhdc:4780_#1,e22_AcquisitionNumbers,1,236791,aanwinst nummer
4f4397f9-0b27-5c65-a6e7-c616f5c9f34d,tg:lhdc:380_#1,e22_AcquisitionNumbers,1,63758,aanwinst nummer
73985806-185b-54db-9563-e1fdfa4b8c43,tg:lhdc:4808_#1,e22_AcquisitionNumbers,1,236800,aanwinst nummer
d541ac21-3d6b-5944-89c3-2b647bd45a5c,tg:lhdc:111_#1,e22_AcquisitionNumbers,1,119845,aanwinst nummer
38c18210-9b2c-5b21-a960-5a6e2bd7f636,tg:lhdc:4563_#1,e22_AcquisitionNumbers,1,201725,aanwinst nummer
aea33475-a3e7-5d11-9ccb-cfb9a18486e3,tg:lhdc:28_#1,e22_AcquisitionNumbers,1,225272/2922,aanwinst nummer
bc305484-d3a7-5bf6-85b1-6eaf47707c99,tg:lhdc:38_#1,e22_AcquisitionNumbers,1,225272/2929,aanwinst nummer
177e6978-8700-5ab4-bbea-e9f3ed0e8550,tg:lhdc:91_#1,e22_AcquisitionNumbers,1,225272,aanwinst nummer
a9f51caf-6a92-5800-9699-74cab8c40b9b,tg:lhdc:450_#1,e22_AcquisitionNumbers,1,201260,aanwinst nummer
539f2df7-ce04-512b-acf5-3d7bd1ed9e74,tg:lhdc:75_#1,e22_AcquisitionNumbers,1,225272/2904,aanwinst nummer
23100db9-3e43-574c-9dd3-1b267530bfa0,tg:lhdc:65_#1,e22_AcquisitionNumbers,1,225272/2894,aanwinst nummer
3d5d053d-f2f2-51fb-8ee3-590acfc3900b,tg:lhdc:4789_#1,e22_AcquisitionNumbers,1,236864,aanwinst nummer
b8dea0c2-e88a-5a9c-9cd6-fcfa138453af,tg:lhdc:4799_#1,e22_AcquisitionNumbers,1,236852,aanwinst nummer
036470a5-fb5d-5350-a79f-125f448d5fe2,tg:lhdc:17_#1,e22_AcquisitionNumbers,1,225272/2912,aanwinst nummer
58f1ed57-226d-566e-993f-a4dd343612eb,tg:lhdc:4809_#1,e22_AcquisitionNumbers,1,236794,aanwinst nummer
5d93ba7a-ed49-5e25-9a36-0ecf9f34027b,tg:lhdc:80_#1,e22_AcquisitionNumbers,1,225272/2911,aanwinst nummer
0081a43f-163e-5523-b3ba-9dc179f1afd1,tg:lhdc:39_#1,e22_AcquisitionNumbers,1,225272/2930,aanwinst nummer
81cda9c9-f660-5d9a-aee1-6c6915669e18,tg:lhdc:29_#1,e22_AcquisitionNumbers,1,225272/2923,aanwinst nummer
a1ce84d1-a0b1-507f-b0b4-25ea412aff19,tg:lhdc:74_#1,e22_AcquisitionNumbers,1,225272/2903,aanwinst nummer
a8fbded0-5daf-5a9a-8b8c-9d07f55294f2,tg:lhdc:196_#1,e22_AcquisitionNumbers,1,103316/2,aanwinst nummer
c0bb4e67-6678-57b1-853d-72de13ac91d5,tg:lhdc:4798_#1,e22_AcquisitionNumbers,1,236792,aanwinst nummer
c1c9c393-f426-50c6-84bb-1613009bd087,tg:lhdc:4788_#1,e22_AcquisitionNumbers,1,236857,aanwinst nummer
d21188e9-a3b2-5ea8-9c21-9a8db19a486a,tg:lhdc:99_#1,e22_AcquisitionNumbers,1,212030,aanwinst nummer
42348266-83f6-51e7-b3e7-28cf39f9e588,tg:lhdc:20_#1,e22_AcquisitionNumbers,1,225272/2915,aanwinst nummer
231e2bfa-0d86-52fc-bd38-44226b8424b4,tg:lhdc:42_#1,e22_AcquisitionNumbers,1,225272/2932,aanwinst nummer
eeaf98af-60ec-5049-b082-257d85f5bbdc,tg:lhdc:52_#1,e22_AcquisitionNumbers,1,225272/2941,aanwinst nummer
613ac107-1870-5b7c-8ea3-c75b75094297,tg:lhdc:4775_#1,e22_AcquisitionNumbers,1,236782,aanwinst nummer
012b9ee6-41e8-52a4-9c9c-ebb4d0f66f62,tg:lhdc:4810_#1,e22_AcquisitionNumbers,1,236785,aanwinst nummer
da4d1b6e-62cc-5c98-8f3a-7b862e2e29db,tg:lhdc:4800_#1,e22_AcquisitionNumbers,1,236859,aanwinst nummer
3736033d-0c52-543f-a0f0-62b69ea9b55b,tg:lhdc:4791_#1,e22_AcquisitionNumbers,1,236855,aanwinst nummer
ebc79003-e986-5bd0-8a1d-f1464d15ef1a,tg:lhdc:381_#1,e22_AcquisitionNumbers,1,5204,aanwinst nummer
8c404e0b-0c4a-50e8-8928-c28f4aba9449,tg:lhdc:92_#1,e22_AcquisitionNumbers,1,225272,aanwinst nummer
3f267fc8-9d0e-5b7b-93c6-f01dc1d4c5b5,tg:lhdc:82_#1,e22_AcquisitionNumbers,1,203714/13,aanwinst nummer
8893ba7e-4bb4-524c-add5-29fb9c70060c,tg:lhdc:49_#1,e22_AcquisitionNumbers,1,225272/2938,aanwinst nummer
c76aeefb-d52c-59d6-bd02-aa0c346d4889,tg:lhdc:59_#1,e22_AcquisitionNumbers,1,225272/2889,aanwinst nummer
0b8d4db8-3f90-5149-840c-39d3edb816df,tg:lhdc:194_#1,e22_AcquisitionNumbers,1,103316/2,aanwinst nummer
