ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier
3940bb1e-1aae-5980-9f22-c99a567978c7,tg:lhdc:4716,e73_CreationActors,1,764b0795-b655-57eb-83b4-23bccb1faf85,au::36597,translators,,"dlod={""name"":""Lea Martel"",""ark"":""ark:/83110/x0/764b0795-b655-57eb-83b4-23bccb1faf85"",""uri"":""/agents/people/71868"",""id"":""au::36597"",""nameWithContext"":[""Marian Landers""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/764b0795-b655-57eb-83b4-23bccb1faf85
b81f6b31-739c-5c6d-a95e-abfa115230e0,tg:lhdc:3750,e73_CreationActors,1,e6d4d830-b09b-53ec-8b5e-608f3ae62563,au::11837,authors,,"dlod={""name"":""Lia Lucassen"",""ark"":""ark:/83110/x0/e6d4d830-b09b-53ec-8b5e-608f3ae62563"",""uri"":""/agents/people/84489"",""id"":""au::11837"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e6d4d830-b09b-53ec-8b5e-608f3ae62563
b4d8db6c-86c3-56c1-a9fc-f7d810c2a30d,tg:lhdc:598,e73_CreationActors,1,6f2031c8-a982-503c-98b4-bc6b74643189,au::11919,authors,,"dlod={""name"":""Willem G. van Maanen"",""ark"":""ark:/83110/x0/6f2031c8-a982-503c-98b4-bc6b74643189"",""uri"":""/agents/people/63817"",""id"":""au::11919"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/6f2031c8-a982-503c-98b4-bc6b74643189
4d635ee4-ca2e-53a7-ad13-307584d9f4ad,tg:lhdc:1048,e73_CreationActors,1,4e017a30-acdd-5ddb-9bf1-95f4cedb43b7,au::7462,authors,,"dlod={""name"":""Michel de Ghelderode"",""ark"":""ark:/83110/x0/4e017a30-acdd-5ddb-9bf1-95f4cedb43b7"",""uri"":""/agents/people/52671"",""id"":""au::7462"",""nameWithContext"":[""Adémar Adolphe Louis Martens""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4e017a30-acdd-5ddb-9bf1-95f4cedb43b7
b5bd19e9-171f-55b7-9c70-925b75122b2a,tg:lhdc:3628,e73_CreationActors,1,7ff918de-2be6-5638-a5f4-46d58acf3366,au::113751,authors,,"dlod={""name"":""Ad van Seijnen"",""ark"":""ark:/83110/x0/7ff918de-2be6-5638-a5f4-46d58acf3366"",""uri"":""/agents/people/72180"",""id"":""au::113751"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7ff918de-2be6-5638-a5f4-46d58acf3366
d5574d19-67a2-5c36-82a1-8dadec6ec51d,tg:lhdc:3740,e73_CreationActors,1,e6d4d830-b09b-53ec-8b5e-608f3ae62563,au::11837,authors,,"dlod={""name"":""Lia Lucassen"",""ark"":""ark:/83110/x0/e6d4d830-b09b-53ec-8b5e-608f3ae62563"",""uri"":""/agents/people/84489"",""id"":""au::11837"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e6d4d830-b09b-53ec-8b5e-608f3ae62563
cf0eddf7-eaa6-5daf-aeda-3769be6ece91,tg:lhdc:4706,e73_CreationActors,1,b97514f1-d3f9-5670-8fff-3460805cb8ad,au::8641,authors,,"dlod={""name"":""Bernard Henry"",""ark"":""ark:/83110/x0/b97514f1-d3f9-5670-8fff-3460805cb8ad"",""uri"":""/agents/people/87784"",""id"":""au::8641"",""nameWithContext"":[""Roger Perck""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b97514f1-d3f9-5670-8fff-3460805cb8ad
98622946-cddd-5bd3-8341-51d8a776250e,tg:lhdc:3638,e73_CreationActors,1,33d70205-24fc-5f97-a56e-b6e0b93e4d50,au::12720,authors,,"dlod={""name"":""René Metzemaekers"",""ark"":""ark:/83110/x0/33d70205-24fc-5f97-a56e-b6e0b93e4d50"",""uri"":""/agents/people/50706"",""id"":""au::12720"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/33d70205-24fc-5f97-a56e-b6e0b93e4d50
b8067fd6-0786-57b9-9ff4-f5a24613e51d,tg:lhdc:588,e73_CreationActors,1,004b86a5-17de-5dbe-8264-9471d1b8055f,au::3451,translators,,"dlod={""name"":""Ben Cami"",""ark"":""ark:/83110/x0/004b86a5-17de-5dbe-8264-9471d1b8055f"",""uri"":""/agents/people/69534"",""id"":""au::3451"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/004b86a5-17de-5dbe-8264-9471d1b8055f
bd6a1b55-7100-57e5-a6dc-c6739ccb17d7,tg:lhdc:1058,e73_CreationActors,1,9bab4f59-ce41-56e2-adda-011c22e5af75,au::9317,authors,,"dlod={""name"":""Hendrik Ibsen"",""ark"":""ark:/83110/x0/9bab4f59-ce41-56e2-adda-011c22e5af75"",""uri"":""/agents/people/87701"",""id"":""au::9317"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9bab4f59-ce41-56e2-adda-011c22e5af75
0dd9d55a-58d9-5284-9589-181275a47bfb,tg:lhdc:4143,e73_CreationActors,1,a4e4d252-a5a8-52ea-b71a-15bd17ce69bc,au::8321,translators,,"dlod={""name"":""Rik Hancké"",""ark"":""ark:/83110/x0/a4e4d252-a5a8-52ea-b71a-15bd17ce69bc"",""uri"":""/agents/people/90687"",""id"":""au::8321"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/a4e4d252-a5a8-52ea-b71a-15bd17ce69bc
b3f1aa51-bfb8-5b29-b12d-e36f53caac70,tg:lhdc:1765,e73_CreationActors,1,76cf16fa-9ec6-5c8a-8d00-9f0bed74fd38,au::8889,authors,,"dlod={""name"":""Albert van Hoeck"",""ark"":""ark:/83110/x0/76cf16fa-9ec6-5c8a-8d00-9f0bed74fd38"",""uri"":""/agents/people/72964"",""id"":""au::8889"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/76cf16fa-9ec6-5c8a-8d00-9f0bed74fd38
a6903790-90b0-57b5-9614-cc6a70cb1e8d,tg:lhdc:3105,e73_CreationActors,1,cb8a6313-4a15-58d5-b6fa-1dc6b44f468c,au::35000,authors,,"dlod={""name"":""I.F. Keesing"",""ark"":""ark:/83110/x0/cb8a6313-4a15-58d5-b6fa-1dc6b44f468c"",""uri"":""/agents/people/77916"",""id"":""au::35000"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/cb8a6313-4a15-58d5-b6fa-1dc6b44f468c
116a9323-4b2e-5f82-890a-e19a706e2873,tg:lhdc:4153,e73_CreationActors,1,f6c5fd8a-5e2b-50f4-bc6a-50d66ccd2f99,au::6826,authors,,"dlod={""name"":""Dario Fo"",""ark"":""ark:/83110/x0/f6c5fd8a-5e2b-50f4-bc6a-50d66ccd2f99"",""uri"":""/agents/people/48477"",""id"":""au::6826"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/f6c5fd8a-5e2b-50f4-bc6a-50d66ccd2f99
61cdb180-a043-540c-bc2f-15b0fbab971c,tg:lhdc:1775,e73_CreationActors,1,33d70205-24fc-5f97-a56e-b6e0b93e4d50,au::12720,translators,,"dlod={""name"":""René Metzemaekers"",""ark"":""ark:/83110/x0/33d70205-24fc-5f97-a56e-b6e0b93e4d50"",""uri"":""/agents/people/50706"",""id"":""au::12720"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/33d70205-24fc-5f97-a56e-b6e0b93e4d50
