ResourceID,brocade.id,card,order,Keeper,Object Number,Object Identifier,Record Type
5a5bca89-08bd-5e2b-8c2f-e66d0df91fe9,tg:lhbr:14757,AA,0,Letterenhuis,tg:lhbr:14757,https://data.letterenhuis.be/ark:/24970/5a5bca89-08bd-5e2b-8c2f-e66d0df91fe9,Brieven
75adc835-fd41-53f9-a975-7f6489fa57a8,tg:lhbr:92109,AA,0,Letterenhuis,tg:lhbr:92109,https://data.letterenhuis.be/ark:/24970/75adc835-fd41-53f9-a975-7f6489fa57a8,Brieven
c959ba4b-084b-5175-90a5-3859069065e6,tg:lhbr:80568,AA,0,Letterenhuis,tg:lhbr:80568,https://data.letterenhuis.be/ark:/24970/c959ba4b-084b-5175-90a5-3859069065e6,Brieven
28c94b6c-86f1-56bf-84c8-33bc15e626b7,tg:lhbr:192912,AA,0,Letterenhuis,tg:lhbr:192912,https://data.letterenhuis.be/ark:/24970/28c94b6c-86f1-56bf-84c8-33bc15e626b7,Brieven
202ca955-7f17-54ba-8dc1-19707b9feb12,tg:lhbr:253065,AA,0,Letterenhuis,tg:lhbr:253065,https://data.letterenhuis.be/ark:/24970/202ca955-7f17-54ba-8dc1-19707b9feb12,Brieven
7c361ffe-a31c-5b1b-9690-fa01fbe96c1b,tg:lhbr:241404,AA,0,Letterenhuis,tg:lhbr:241404,https://data.letterenhuis.be/ark:/24970/7c361ffe-a31c-5b1b-9690-fa01fbe96c1b,Brieven
dd3a8fcd-a947-560f-a1e2-9964e8e882fd,tg:lhbr:183780,AA,0,Letterenhuis,tg:lhbr:183780,https://data.letterenhuis.be/ark:/24970/dd3a8fcd-a947-560f-a1e2-9964e8e882fd,Brieven
1c4ec183-c35d-5db3-859b-8370e42a53e4,tg:lhbr:286931,AA,0,Letterenhuis,tg:lhbr:286931,https://data.letterenhuis.be/ark:/24970/1c4ec183-c35d-5db3-859b-8370e42a53e4,Brieven
8ba03926-6c13-51c0-aecf-0e154d60ad73,tg:lhbr:147046,AA,0,Letterenhuis,tg:lhbr:147046,https://data.letterenhuis.be/ark:/24970/8ba03926-6c13-51c0-aecf-0e154d60ad73,Brieven
6ce2ad5f-95e0-5b65-85a8-a46d5a1c5c74,tg:lhbr:155427,AA,0,Letterenhuis,tg:lhbr:155427,https://data.letterenhuis.be/ark:/24970/6ce2ad5f-95e0-5b65-85a8-a46d5a1c5c74,Brieven
8d0d2a4e-33c3-545d-86f4-17bc5008a4b0,tg:lhbr:239732,AA,0,Letterenhuis,tg:lhbr:239732,https://data.letterenhuis.be/ark:/24970/8d0d2a4e-33c3-545d-86f4-17bc5008a4b0,Brieven
