ResourceID,brocade.id,card,order,source_field,Title,Title Type,Title Language
c5db2aef-7be7-5a21-9146-0c4b9cde508c,tg:lhdc:3721,Titles,1,id.title/ti,De mirakel van Sint-bavo,titles proper,Dutch (language)
294454d0-be4b-54ae-92e9-6da58a5fdd5f,tg:lhdc:2833,Titles,1,id.title/ti,Kwik de eekhoorn,titles proper,Dutch (language)
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,Titles,1,id.title/ti,Midone van Bioulx,titles proper,Dutch (language)
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,tg:lhdc:3371,Titles,1,id.title/ti,De verschrikkelijke iwan,titles proper,Dutch (language)
f90aee64-fa2e-5c5e-beca-16af546e9bdf,tg:lhdc:683,Titles,1,id.title/ti,Standbeelden in de wildernis,titles proper,Dutch (language)
456fc8e4-524f-59bb-a7be-d14de36f2633,tg:lhdc:379,Titles,1,id.title/ti,"""Eere diploma Handelskorrespondent""",titles proper,Dutch (language)
fc51f64c-6faa-5946-b18e-64976edf9643,tg:lhdc:2999,Titles,1,id.title/ti,Wetenschappelike snufjes,titles proper,Dutch (language)
adac8886-4115-53ba-a5e9-e97f1cbeecb6,tg:lhdc:2130,Titles,1,id.title/ti,Een bijzonder zeldzame vogel,titles proper,Dutch (language)
8e73840d-ac58-587b-b2db-ae1081b28992,tg:lhdc:2560,Titles,1,id.title/ti,Regen,titles proper,Dutch (language)
b6e13194-eff2-58b9-a59e-60cfe66a3091,tg:lhdc:2075,Titles,1,id.title/ti,10 jaar geen nachtegaal,titles proper,Dutch (language)
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,tg:lhdc:2425,Titles,1,id.title/ti,De brandende fietser,titles proper,Dutch (language)
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,tg:lhdc:3664,Titles,1,id.title/ti,De mooie ganzenhoedster,titles proper,Dutch (language)
b0927ea5-92c6-5720-af4d-1332e48ba275,tg:lhdc:1659,Titles,1,id.title/ti,Om zeven uur thuis,titles proper,Dutch (language)
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,tg:lhdc:2976,Titles,1,id.title/ti,Thea en Ingel,titles proper,Dutch (language)
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,Titles,1,id.title/ti,Bericht aangaande de prijsuitreiking op bovenvermelde datum op het Kollegie van Ste Barbara - krantenknipsel,titles proper,Dutch (language)
93ffcee9-3198-5991-8a1f-f4bd6de1aca1,tg:lhdc:3234,Titles,1,id.title/ti,Pagadderke als dedective,titles proper,Dutch (language)
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,tg:lhdc:1209,Titles,1,id.title/ti,Fiat justitia,titles proper,Dutch (language)
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,tg:lhdc:1823,Titles,1,id.title/ti,Het mes,titles proper,Dutch (language)
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,tg:lhdc:1989,Titles,1,id.title/ti,De voorbijganger,titles proper,Dutch (language)
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,tg:lhdc:4322,Titles,1,id.title/ti,Yerma (1e deel),titles proper,Dutch (language)
194273e5-dce2-55d6-9225-a1a39c7683c4,tg:lhdc:1120,Titles,1,id.title/ti,De droom van Marius Mergpijp,titles proper,Dutch (language)
4968b442-83f7-5ac9-8739-78a9594fbb21,tg:lhdc:545,Titles,1,id.title/ti,De rechtvaardige,titles proper,Dutch (language)
e82a4066-c13b-5c1e-a89a-f242d880158f,tg:lhdc:1570,Titles,1,id.title/ti,De niet -  vergeten gevangene,titles proper,Dutch (language)
69b18b18-bbe4-5c3f-8fce-82f5a18111df,tg:lhdc:4288,Titles,1,id.title/ti,"Rode anjers. ""Red carnations""",titles proper,Dutch (language)
9260ac3a-493b-5c96-8e8b-2c088046afcd,tg:lhdc:3058,Titles,1,id.title/ti,Drie muizen voor de abt,titles proper,Dutch (language)
918e407c-5088-545f-9600-7455a2ad5ade,tg:lhdc:4267,Titles,1,id.title/ti,Moany's jongen huilt niet,titles proper,Dutch (language)
a4f839b8-c912-557b-91e8-49e0629b7ca8,tg:lhdc:1435,Titles,1,id.title/ti,De vrijwielers,titles proper,Dutch (language)
c73efc8c-499e-5620-9f16-d42150dabc4f,tg:lhdc:3408,Titles,1,id.title/ti,"De avonturen van Bruin, Bezem en Bietekwiet (1)",titles proper,Dutch (language)
14f597ea-cc38-5294-ac90-c97e8f7570c6,tg:lhdc:4637,Titles,1,id.title/ti,De zaak Angeline Van Ginnink,titles proper,Dutch (language)
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,tg:lhdc:400,Titles,1,id.title/ti,Verslag van de 4e Eeuwsviering Sint Lucasgilde - Antwerpse Kermis - krantenknipsel.,titles proper,French (language)
1c069000-f37d-58f1-9832-62d2d4955dc6,tg:lhdc:1966,Titles,1,id.title/ti,Het water,titles proper,Dutch (language)
d9ef42d8-16a5-5f6b-aca1-2c16301c98bc,tg:lhdc:2649,Titles,1,id.title/ti,Roodkapje,titles proper,Dutch (language)
863f5eca-b4fe-5ff0-9545-a487d5b19de6,tg:lhdc:953,Titles,1,id.title/ti,De Pauw,titles proper,Dutch (language)
2efcd247-0093-5f43-a4c1-a70f6ed1403e,tg:lhdc:2219,Titles,1,id.title/ti,De firma/de societeit,titles proper,Dutch (language)
697fed17-e5ee-59ed-b9eb-5126ec80b459,tg:lhdc:2537,Titles,1,id.title/ti,Oscar wilde in America,titles proper,Dutch (language)
d1575020-0721-5685-a972-e30c2476f8a8,tg:lhdc:2167,Titles,1,id.title/ti,Duo,titles proper,Dutch (language)
41d14d41-dfc1-54f9-8a08-852c1805028e,tg:lhdc:4119,Titles,1,id.title/ti,Het ouderlijk huis,titles proper,Dutch (language)
e9a999da-a1c8-5133-a100-77b0a816dae8,tg:lhdc:3326,Titles,1,id.title/ti,Waar ligt sprookjes land?,titles proper,Dutch (language)
c57e010f-886e-58a7-b3b0-b053513b9962,tg:lhdc:4549,Titles,1,id.title/ti,De Paradijsvogels (6e aflevering),titles proper,Dutch (language)
62c249f2-b9a7-597a-ac55-22637354dd16,tg:lhdc:3776,Titles,1,id.title/ti,Zwarte Piet zoekt plaatsvervangers,titles proper,Dutch (language)
f15274bf-0e02-5c8a-a85d-74b5b9e4e418,tg:lhdc:2864,Titles,1,id.title/ti,Het betoverde bootje,titles proper,Dutch (language)
427907aa-7f3e-50f7-9387-3e29bd48c71a,tg:lhdc:284,Titles,1,id.title/ti,Koninklyke Maetschappy van Tooneel- en Letterkunde - Yver en Broedermin - Pryskamp - Programma,titles proper,Dutch (language)
308a4123-ad05-5ab6-93fe-1353f2e949eb,tg:lhdc:3263,Titles,1,id.title/ti,De geschiedenis van kalief Ooievaar,titles proper,Dutch (language)
f5ee3ee2-4185-5e70-9efb-437c54abf769,tg:lhdc:791,Titles,1,id.title/ti,Beatrijs,titles proper,Dutch (language)
2a28e1e7-f916-57ad-835d-e2681ece6f46,tg:lhdc:3799,Titles,1,id.title/ti,De drie broers,titles proper,Dutch (language)
5af84b01-84cf-512e-8360-b9f5c161be29,tg:lhdc:3633,Titles,1,id.title/ti,De vreemde avonturen van Pattepoetie en Pietepatti (II),titles proper,Dutch (language)
d3d42335-5419-56f6-82d0-fead9c7db9a2,tg:lhdc:2921,Titles,1,id.title/ti,De slimme tamboer,titles proper,Dutch (language)
7e3aa133-adc9-5928-96d0-ef4322952dcd,tg:lhdc:2472,Titles,1,id.title/ti,Drie vrijers-een echtgenoot,titles proper,Dutch (language)
53608659-e49e-5b3e-8a69-c959b86de8bf,tg:lhdc:2188,Titles,1,id.title/ti,Het meisje op het dak,titles proper,Dutch (language)
815db3e8-919e-5bd2-a0b0-cb8cf85391b7,tg:lhdc:2022,Titles,1,id.title/ti,Keizerwals,titles proper,Dutch (language)
26d15d9f-8e01-5ff2-a090-290a3e04e7ee,tg:lhdc:1527,Titles,1,id.title/ti,Uit bundel gedemonteerde stukken. Bundel Commissie Rubens 1888-1890,titles proper,Dutch (language)
2ae68211-f898-5a98-a0c7-4596b2e5e799,tg:lhdc:4725,Titles,1,id.title/ti,De hond van de generaal,titles proper,Dutch (language)
c97309fe-5445-5e17-8c69-b7c249d559c0,tg:lhdc:512,Titles,1,id.title/ti,Hoera voor 't leven,titles proper,Dutch (language)
3a9901ea-3fe6-507c-8c41-35a0c4ee2671,tg:lhdc:1177,Titles,1,id.title/ti,De triomf der wetenschap,titles proper,Dutch (language)
fd6a995a-8b02-5ecf-87f3-10974aba08a3,tg:lhdc:4375,Titles,1,id.title/ti,Ten huize van Eugène Yoors,titles proper,Dutch (language)
15405e4c-0613-5379-af4d-8bcb245b1c8a,tg:lhdc:142,Titles,1,id.title/ti,knipselboek III-IV,titles proper,Dutch (language)
fe418a0e-9ad0-53f0-8b2e-c87f1b876ce3,tg:lhdc:1874,Titles,1,id.title/ti,Het luisterspel,titles proper,Dutch (language)
7244620e-2a55-5ce5-9ec0-a0b4064e60c1,tg:lhdc:3849,Titles,1,id.title/ti,De avonturen van twee muisjes,titles proper,Dutch (language)
fae3c9b9-42f4-56f5-bc67-8c47087e7dfb,tg:lhdc:841,Titles,1,id.title/ti,Oudejaarsavond-revue 1939,titles proper,Dutch (language)
ad8d7135-07c0-5a74-ac17-24ccbfc18dfa,tg:lhdc:904,Titles,1,id.title/ti,Een bete broods,titles proper,Dutch (language)
2324bbd5-3433-55df-9713-5931879675f6,tg:lhdc:1931,Titles,1,id.title/ti,Stranitzky en de nationale held,titles proper,Dutch (language)
7a236080-d149-5045-bf11-24e87628ea34,tg:lhdc:1198,Titles,1,id.title/ti,Peetoom dood,titles proper,Dutch (language)
6ac7bf2c-638c-51d2-8e6d-6d7d10b6e5b2,tg:lhdc:457,Titles,1,id.title/ti,De weg naar ispahaan,titles proper,Dutch (language)
0c7e4f85-7dd2-5b82-aa7b-929e9d43ba1f,tg:lhdc:1462,Titles,1,id.title/ti,Getuigen,titles proper,Dutch (language)
d9a3fbc3-524c-51d2-a037-db5ce99c299c,tg:lhdc:4230,Titles,1,id.title/ti,Buren,titles proper,Dutch (language)
