ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,Acquisitions,1,tr:lh:126473,"dlod={""name"":""Archief van Prudens van Duyse"",""ark"":""ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f"",""uri"":""/repositories/11/accessions/10692"",""id"":""tr:lh:126473"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,tg:lhdc:400,Acquisitions,1,tr:lh:126473,"dlod={""name"":""Archief van Prudens van Duyse"",""ark"":""ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f"",""uri"":""/repositories/11/accessions/10692"",""id"":""tr:lh:126473"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f
427907aa-7f3e-50f7-9387-3e29bd48c71a,tg:lhdc:284,Acquisitions,1,tr:lh:126473,"dlod={""name"":""Archief van Prudens van Duyse"",""ark"":""ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f"",""uri"":""/repositories/11/accessions/10692"",""id"":""tr:lh:126473"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f
26d15d9f-8e01-5ff2-a090-290a3e04e7ee,tg:lhdc:1527,Acquisitions,1,tr:lh:4825,"dlod={""name"":""Nalatenschap van Max Rooses"",""ark"":""ark:/24970/x0/58f73f54-a83c-5e90-8aa3-42c3e070b837"",""uri"":""/repositories/11/accessions/14421"",""id"":""tr:lh:4825"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/58f73f54-a83c-5e90-8aa3-42c3e070b837
15405e4c-0613-5379-af4d-8bcb245b1c8a,tg:lhdc:142,Acquisitions,1,tr:lh:7336,"dlod={""name"":""Archief van Michel Seuphor"",""ark"":""ark:/24970/x0/21221d3a-7001-51de-9f76-ec8d0dd744a4"",""uri"":""/repositories/11/accessions/15511"",""id"":""tr:lh:7336"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/21221d3a-7001-51de-9f76-ec8d0dd744a4
2a606f69-d1f0-50b8-8f44-7086fdfb5192,tg:lhdc:292,Acquisitions,1,tr:lh:126473,"dlod={""name"":""Archief van Prudens van Duyse"",""ark"":""ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f"",""uri"":""/repositories/11/accessions/10692"",""id"":""tr:lh:126473"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f
2f494987-7310-568e-b620-d6b4d2bfb7fa,tg:lhdc:338,Acquisitions,1,tr:lh:126473,"dlod={""name"":""Archief van Prudens van Duyse"",""ark"":""ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f"",""uri"":""/repositories/11/accessions/10692"",""id"":""tr:lh:126473"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/626f4bb2-6c7f-565e-9772-fd60af74363f
18b00813-7261-5cd6-8d04-d9cb327411af,tg:lhdc:441,Acquisitions,1,tr:lh:3032,"dlod={""name"":""Nalatenschap van Emmanuel de Bom"",""ark"":""ark:/24970/x0/5329ed35-4876-5815-b90e-1e79ce712f0f"",""uri"":""/repositories/11/accessions/13243"",""id"":""tr:lh:3032"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/5329ed35-4876-5815-b90e-1e79ce712f0f
40cadf49-e4e7-5318-844b-e0bb6dabf084,tg:lhdc:380,Acquisitions,1,tr:lh:3204,"dlod={""name"":""Archief van Ernest Siems"",""ark"":""ark:/24970/x0/aa69a849-60c5-5107-822f-dab3a73bca01"",""uri"":""/repositories/11/accessions/16212"",""id"":""tr:lh:3204"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/aa69a849-60c5-5107-822f-dab3a73bca01
0a89a144-65f4-5f84-939b-d848fe8b5779,tg:lhdc:103,Acquisitions,1,tr:lh:3097,"dlod={""name"":""Archiefstukken van André de Ridder"",""ark"":""ark:/24970/x0/4a269899-bb26-5a13-9dec-1107af4e94b9"",""uri"":""/repositories/11/accessions/13529"",""id"":""tr:lh:3097"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/4a269899-bb26-5a13-9dec-1107af4e94b9
