ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Depicted Item Role,Depicted Item Widget,Depicted Item Identifier
151729a4-7ab4-5daa-95d6-9eb31512a9f3,tg:lhph:14757,e73_DepictedItems,1,fb7810ab-e3c6-5f50-a83e-954621c2b2a1,au::29411,keywords,"dlod={""name"":""Victor van Dessel"",""ark"":""ark:/83110/x0/fb7810ab-e3c6-5f50-a83e-954621c2b2a1"",""uri"":""/agents/people/47983"",""id"":""au::29411"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/fb7810ab-e3c6-5f50-a83e-954621c2b2a1
151729a4-7ab4-5daa-95d6-9eb31512a9f3,tg:lhph:14757,e73_DepictedItems,2,2442b457-9a32-5832-8f7e-cc7b278e0d15,au::5453,keywords,"dlod={""name"":""Marie van Dessel-Poot"",""ark"":""ark:/83110/x0/2442b457-9a32-5832-8f7e-cc7b278e0d15"",""uri"":""/agents/people/63610"",""id"":""au::5453"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2442b457-9a32-5832-8f7e-cc7b278e0d15
6045ff33-9c30-5077-afe1-3ee2c6d511e6,tg:lhph:40182,e73_DepictedItems,1,0cdcea4d-1808-56ad-9765-c081425bfafe,au::2185,keywords,"dlod={""name"":""Karel Bogaers"",""ark"":""ark:/83110/x0/0cdcea4d-1808-56ad-9765-c081425bfafe"",""uri"":""/agents/people/58136"",""id"":""au::2185"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0cdcea4d-1808-56ad-9765-c081425bfafe
e2e08d65-98fb-52ce-9828-14a7576718a6,tg:lhph:4716,e73_DepictedItems,2,80cb9b16-916f-5c2c-ae4e-1d3f2920943a,au::13030,keywords,"dlod={""name"":""Willem de Mol"",""ark"":""ark:/83110/x0/80cb9b16-916f-5c2c-ae4e-1d3f2920943a"",""uri"":""/agents/people/93777"",""id"":""au::13030"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/80cb9b16-916f-5c2c-ae4e-1d3f2920943a
fb0ff7a0-0010-5045-ae83-dce5e1486364,tg:lhph:20300,e73_DepictedItems,1,bc653678-5f0e-535f-84f8-78fd3fc16fe0,au::4792,keywords,"dlod={""name"":""Jan Emiel Daele"",""ark"":""ark:/83110/x0/bc653678-5f0e-535f-84f8-78fd3fc16fe0"",""uri"":""/agents/people/49591"",""id"":""au::4792"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/bc653678-5f0e-535f-84f8-78fd3fc16fe0
a3256451-d91d-570b-ae87-83791035d308,tg:lhph:41488,e73_DepictedItems,1,2a803815-4d59-5357-99ea-6bbee34aaa3b,au::2438,keywords,"dlod={""name"":""August Borms"",""ark"":""ark:/83110/x0/2a803815-4d59-5357-99ea-6bbee34aaa3b"",""uri"":""/agents/people/72830"",""id"":""au::2438"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2a803815-4d59-5357-99ea-6bbee34aaa3b
a3256451-d91d-570b-ae87-83791035d308,tg:lhph:41488,e73_DepictedItems,2,4ded0c19-0544-5969-a9e6-bb35f133ed3e,au::7862,keywords,"dlod={""name"":""Flor Grammens"",""ark"":""ark:/83110/x0/4ded0c19-0544-5969-a9e6-bb35f133ed3e"",""uri"":""/agents/people/49281"",""id"":""au::7862"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/4ded0c19-0544-5969-a9e6-bb35f133ed3e
97d96c27-5a2f-54ec-ada7-29652cc89670,tg:lhph:1130,e73_DepictedItems,1,1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1,au::2268,keywords,"dlod={""name"":""Emmanuel de Bom"",""ark"":""ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1"",""uri"":""/agents/people/75531"",""id"":""au::2268"",""nameWithContext"":[""H.P."",""Havelingk"",""Ernest d' Hooghe"",""Jan Baptist Janssens"",""Mane"",""Alfried Mendel"",""P.H."",""Daniel Quilp"",""W. Steenackers"",""Thekel"",""G.J van Stockstraeten"",""Karel van Mander"",""Nand Verdonck"",""Dr. Kwabbes"",""Mac Adam"",""Th. van Hauwaert"",""J. Fr. Liebrechts"",""Alfried Mandel"",""H. Ambeloke"",""Bob Calefoot"",""Cheops"",""Colum-Massa"",""Massa"",""Elinor"",""Louis Frisé"",""Piet Palings"",""L. Fré"",""Hatteras"",""Shandy"",""Tsjitsjikoff"",""Louis Trisé""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1fc62661-e5c9-5cdf-9e5e-71ae0c2a02f1
af403367-1b59-5ead-b91b-f42580b3ea7f,tg:lhph:37147,e73_DepictedItems,2,fa6b4b31-1cc4-51bf-ac63-15ae4e4e153f,au::57928,keywords,"dlod={""name"":""Rolle Denert"",""ark"":""ark:/83110/x0/fa6b4b31-1cc4-51bf-ac63-15ae4e4e153f"",""uri"":""/agents/people/82579"",""id"":""au::57928"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/fa6b4b31-1cc4-51bf-ac63-15ae4e4e153f
ba975792-b9a4-5550-b516-834d7d966f6e,tg:lhph:25526,e73_DepictedItems,2,8c48f5de-508b-5b31-98b5-726cacf6c11f,au::14130,keywords,"dlod={""name"":""Isidoor Opsomer"",""ark"":""ark:/83110/x0/8c48f5de-508b-5b31-98b5-726cacf6c11f"",""uri"":""/agents/people/93207"",""id"":""au::14130"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8c48f5de-508b-5b31-98b5-726cacf6c11f
