ResourceID,brocade.id,card,order,ire.isaar.uuid,ISAAR Brocade ID,Original Entity Relation,Original Entity Widget,Original Entity Identifier
6045ff33-9c30-5077-afe1-3ee2c6d511e6,tg:lhph:40182,e73_OriginalBrocade,2,b7f49eb2-e26f-59f8-944c-4f4c55174cd6,au::10542,keywords,"dlod={""name"":""Koninklijke Vlaamse Opera"",""ark"":""ark:/83110/x0/b7f49eb2-e26f-59f8-944c-4f4c55174cd6"",""uri"":""/agents/corporate_entities/22988"",""id"":""au::10542"",""nameWithContext"":[""KVO"",""Nederlandsch Lyrisch Tooneel""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/b7f49eb2-e26f-59f8-944c-4f4c55174cd6
cb3cc2bd-4117-57f3-a591-b5a58fd77530,tg:lhph:30898,e73_OriginalBrocade,1,3d81155b-b616-5ef7-b4f6-3c9934542842,au::7595,keywords,"dlod={""name"":""Frans Gittens"",""ark"":""ark:/83110/x0/3d81155b-b616-5ef7-b4f6-3c9934542842"",""uri"":""/agents/people/89984"",""id"":""au::7595"",""nameWithContext"":[""Dick O'the Flannel""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/3d81155b-b616-5ef7-b4f6-3c9934542842
af403367-1b59-5ead-b91b-f42580b3ea7f,tg:lhph:37147,e73_OriginalBrocade,3,23c48a5e-46bc-50ea-82dc-f6b237c012f4,au::18524,keywords,"dlod={""name"":""Toneelstudio 50 - Arca"",""ark"":""ark:/83110/x0/23c48a5e-46bc-50ea-82dc-f6b237c012f4"",""uri"":""/agents/corporate_entities/16631"",""id"":""au::18524"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/23c48a5e-46bc-50ea-82dc-f6b237c012f4
d7eab265-9baa-5ed3-b16d-2cec01125cf8,tg:lhph:35727,e73_OriginalBrocade,1,9ee3d126-145c-5f9f-b4b3-1ae0a620db91,au::10815,keywords,"dlod={""name"":""Het Laatste Nieuws"",""ark"":""ark:/83110/x0/9ee3d126-145c-5f9f-b4b3-1ae0a620db91"",""uri"":""/agents/corporate_entities/27899"",""id"":""au::10815"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9ee3d126-145c-5f9f-b4b3-1ae0a620db91
d7eab265-9baa-5ed3-b16d-2cec01125cf8,tg:lhph:35727,e73_OriginalBrocade,2,2a792f0d-3ae8-582c-ba27-a1753f2a7df1,au::11211,keywords,"dlod={""name"":""Bert Leën"",""ark"":""ark:/83110/x0/2a792f0d-3ae8-582c-ba27-a1753f2a7df1"",""uri"":""/agents/people/54431"",""id"":""au::11211"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2a792f0d-3ae8-582c-ba27-a1753f2a7df1
d7eab265-9baa-5ed3-b16d-2cec01125cf8,tg:lhph:35727,e73_OriginalBrocade,3,1723cafe-b6af-5918-b437-a2d0e731d92b,au::20187,keywords,"dlod={""name"":""De Vlaamsche Gazet"",""ark"":""ark:/83110/x0/1723cafe-b6af-5918-b437-a2d0e731d92b"",""uri"":""/agents/corporate_entities/23569"",""id"":""au::20187"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1723cafe-b6af-5918-b437-a2d0e731d92b
9fc8d142-4413-58de-b108-1bfeab76a8f0,tg:lhph:50383,e73_OriginalBrocade,2,71f46c5a-fae6-5f70-a6df-be2c10eb52eb,au::12170,keywords,"dlod={""name"":""Manteau"",""ark"":""ark:/83110/x0/71f46c5a-fae6-5f70-a6df-be2c10eb52eb"",""uri"":""/agents/corporate_entities/15515"",""id"":""au::12170"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/71f46c5a-fae6-5f70-a6df-be2c10eb52eb
4858203f-256a-5fb7-9b55-b2191e80f6bc,tg:lhph:22560,e73_OriginalBrocade,2,9ee3d126-145c-5f9f-b4b3-1ae0a620db91,au::10815,keywords,"dlod={""name"":""Het Laatste Nieuws"",""ark"":""ark:/83110/x0/9ee3d126-145c-5f9f-b4b3-1ae0a620db91"",""uri"":""/agents/corporate_entities/27899"",""id"":""au::10815"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9ee3d126-145c-5f9f-b4b3-1ae0a620db91
85a67807-35a7-50d1-9ec5-f5c078abca45,tg:lhph:30101,e73_OriginalBrocade,2,7589677b-d0b5-535b-a77a-30244f5c0970,au::1479,keywords,"dlod={""name"":""Emile Beliëns"",""ark"":""ark:/83110/x0/7589677b-d0b5-535b-a77a-30244f5c0970"",""uri"":""/agents/people/74215"",""id"":""au::1479"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7589677b-d0b5-535b-a77a-30244f5c0970
85a67807-35a7-50d1-9ec5-f5c078abca45,tg:lhph:30101,e73_OriginalBrocade,3,d947719f-4210-56e2-a81c-7170d2a0b2ef,au::5206,keywords,"dlod={""name"":""Leo Delfos"",""ark"":""ark:/83110/x0/d947719f-4210-56e2-a81c-7170d2a0b2ef"",""uri"":""/agents/people/82148"",""id"":""au::5206"",""nameWithContext"":[""Leo Delfosse""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d947719f-4210-56e2-a81c-7170d2a0b2ef
