Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card
tg:lhph:30552,,f054665f-e89b-5527-b4be-e1d47a4263cb,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f054665f-e89b-5527-b4be-e1d47a4263cb,repository numbers,object identifier,0,AA
tg:lhph:37297,,87f8effb-7485-5d82-846f-99bff333cfc0,Letterenhuis,https://data.letterenhuis.be/ark:/24970/87f8effb-7485-5d82-846f-99bff333cfc0,repository numbers,object identifier,0,AA
tg:lhph:3721,,8552fda5-f4c2-5a7e-8227-3626a972e7c1,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8552fda5-f4c2-5a7e-8227-3626a972e7c1,repository numbers,object identifier,0,AA
tg:lhph:51041,,a8cb1dec-0bf6-5695-b15b-645ff687a102,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a8cb1dec-0bf6-5695-b15b-645ff687a102,repository numbers,object identifier,0,AA
tg:lhph:2833,,ff50b330-23a5-5a54-be81-c61883a518b0,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ff50b330-23a5-5a54-be81-c61883a518b0,repository numbers,object identifier,0,AA
tg:lhph:29289,,bfc0ee81-10b3-54bd-8ca4-61147179c437,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bfc0ee81-10b3-54bd-8ca4-61147179c437,repository numbers,object identifier,0,AA
tg:lhph:23684,,94fe2532-900e-5ed6-ba1f-becb3618e2da,Letterenhuis,https://data.letterenhuis.be/ark:/24970/94fe2532-900e-5ed6-ba1f-becb3618e2da,repository numbers,object identifier,0,AA
tg:lhph:24141,,f90accfd-a381-51aa-a1d4-83618b68b83f,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f90accfd-a381-51aa-a1d4-83618b68b83f,repository numbers,object identifier,0,AA
tg:lhph:42397,,05d64298-749d-55d1-aac7-937d9ecf5d20,Letterenhuis,https://data.letterenhuis.be/ark:/24970/05d64298-749d-55d1-aac7-937d9ecf5d20,repository numbers,object identifier,0,AA
tg:lhph:13232,,4c4c99a5-d95e-5ec7-92c2-8931ced9578a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4c4c99a5-d95e-5ec7-92c2-8931ced9578a,repository numbers,object identifier,0,AA
tg:lhph:45452,,c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,repository numbers,object identifier,0,AA
