ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Creation Actor Role,Creation Actor Widget,Creation Actor Identifier
e2e08d65-98fb-52ce-9828-14a7576718a6,tg:lhph:4716,e73_CreationActors,1,e8ca5387-b1be-516b-9e7e-3002e3b813f4,au::52691,photographers,"dlod={""name"":""Jacques Guillaume Théophile Steppe-Van Wetter"",""ark"":""ark:/83110/x0/e8ca5387-b1be-516b-9e7e-3002e3b813f4"",""uri"":""/agents/people/89480"",""id"":""au::52691"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e8ca5387-b1be-516b-9e7e-3002e3b813f4
af403367-1b59-5ead-b91b-f42580b3ea7f,tg:lhph:37147,e73_CreationActors,1,083b6d4c-771f-5a84-b2f7-7c6f21eae122,au::901,photographers,"dlod={""name"":""Marcel de Backer"",""ark"":""ark:/83110/x0/083b6d4c-771f-5a84-b2f7-7c6f21eae122"",""uri"":""/agents/people/90573"",""id"":""au::901"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/083b6d4c-771f-5a84-b2f7-7c6f21eae122
ba975792-b9a4-5550-b516-834d7d966f6e,tg:lhph:25526,e73_CreationActors,1,2c5b5f93-1a26-53ec-843c-3802db39c9ea,au::18070,photographers,"dlod={""name"":""Filip Tas"",""ark"":""ark:/83110/x0/2c5b5f93-1a26-53ec-843c-3802db39c9ea"",""uri"":""/agents/people/67466"",""id"":""au::18070"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2c5b5f93-1a26-53ec-843c-3802db39c9ea
2ce1adfa-9311-5afc-886e-52b42a0e1a3f,tg:lhph:9285,e73_CreationActors,1,de1feef5-1554-5c9a-80a6-ce87f3ba38a9,au::1087,photographers,"dlod={""name"":""Edgar Barbaix"",""ark"":""ark:/83110/x0/de1feef5-1554-5c9a-80a6-ce87f3ba38a9"",""uri"":""/agents/people/91713"",""id"":""au::1087"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/de1feef5-1554-5c9a-80a6-ce87f3ba38a9
e518f9d0-53a6-53f8-8450-57e03afe28d4,tg:lhph:51689,e73_CreationActors,1,ba6c81fe-0912-5ea3-a327-4a1aee60d45d,au::48473,photographers,"dlod={""name"":""Gevaert"",""ark"":""ark:/83110/x0/ba6c81fe-0912-5ea3-a327-4a1aee60d45d"",""uri"":""/agents/corporate_entities/14694"",""id"":""au::48473"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ba6c81fe-0912-5ea3-a327-4a1aee60d45d
fae9f3e6-4799-58c6-b9b0-d3cde0c4743a,tg:lhph:10503,e73_CreationActors,1,2c5b5f93-1a26-53ec-843c-3802db39c9ea,au::18070,photographers,"dlod={""name"":""Filip Tas"",""ark"":""ark:/83110/x0/2c5b5f93-1a26-53ec-843c-3802db39c9ea"",""uri"":""/agents/people/67466"",""id"":""au::18070"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2c5b5f93-1a26-53ec-843c-3802db39c9ea
d6fa78bb-2369-54c0-99ae-5ce8cca38e9a,tg:lhph:32619,e73_CreationActors,1,9d018cf8-9be4-5ac1-913e-4c08e7c3c4e8,au::50883,photographers,"dlod={""name"":""Georges Raynaud"",""ark"":""ark:/83110/x0/9d018cf8-9be4-5ac1-913e-4c08e7c3c4e8"",""uri"":""/agents/people/85780"",""id"":""au::50883"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9d018cf8-9be4-5ac1-913e-4c08e7c3c4e8
624ffe81-d6ab-509b-8f93-3afd8955ac1d,tg:lhph:36535,e73_CreationActors,1,36aa966a-5f73-52c7-ac53-b137510a69c5,au::54185,photographers,"dlod={""name"":""J.M. Mertens"",""ark"":""ark:/83110/x0/36aa966a-5f73-52c7-ac53-b137510a69c5"",""uri"":""/agents/people/77065"",""id"":""au::54185"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/36aa966a-5f73-52c7-ac53-b137510a69c5
5abf5e24-f32c-590b-8a52-b3d4f99da09d,tg:lhph:15325,e73_CreationActors,1,23bec98b-6703-528a-8468-297e883a9413,au::14947,photographers,"dlod={""name"":""Jos Polak"",""ark"":""ark:/83110/x0/23bec98b-6703-528a-8468-297e883a9413"",""uri"":""/agents/people/91038"",""id"":""au::14947"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/23bec98b-6703-528a-8468-297e883a9413
05951f32-29b0-544c-8507-87d202607579,tg:lhph:28854,e73_CreationActors,1,148d5bc4-b81f-54b1-a565-bc27dbe23389,au::57702,photographers,"dlod={""name"":""A. van Horenbeeck"",""ark"":""ark:/83110/x0/148d5bc4-b81f-54b1-a565-bc27dbe23389"",""uri"":""/agents/people/61965"",""id"":""au::57702"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/148d5bc4-b81f-54b1-a565-bc27dbe23389
be18c2b2-61f8-50c1-8d95-aaf2c738a236,tg:lhph:5364,e73_CreationActors,1,2c5b5f93-1a26-53ec-843c-3802db39c9ea,au::18070,photographers,"dlod={""name"":""Filip Tas"",""ark"":""ark:/83110/x0/2c5b5f93-1a26-53ec-843c-3802db39c9ea"",""uri"":""/agents/people/67466"",""id"":""au::18070"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2c5b5f93-1a26-53ec-843c-3802db39c9ea
446f75a5-e923-56a9-a418-cca2126fa01f,tg:lhph:6997,e73_CreationActors,1,d0008866-6fe3-53a0-b822-9d9646615c48,au::46966,photographers,"dlod={""name"":""Anton Hardy"",""ark"":""ark:/83110/x0/d0008866-6fe3-53a0-b822-9d9646615c48"",""uri"":""/agents/people/72241"",""id"":""au::46966"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d0008866-6fe3-53a0-b822-9d9646615c48
7c6ce127-52d9-5378-b09a-8086a4eb375d,tg:lhph:13669,e73_CreationActors,1,aca54d42-11f0-563d-ace1-def87d0af0b1,au::13254,photographers,"dlod={""name"":""Oscar Mulkens"",""ark"":""ark:/83110/x0/aca54d42-11f0-563d-ace1-def87d0af0b1"",""uri"":""/agents/people/59011"",""id"":""au::13254"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/aca54d42-11f0-563d-ace1-def87d0af0b1
c22d95cc-d760-5630-8816-5835de6625a8,tg:lhph:31573,e73_CreationActors,1,083b6d4c-771f-5a84-b2f7-7c6f21eae122,au::901,photographers,"dlod={""name"":""Marcel de Backer"",""ark"":""ark:/83110/x0/083b6d4c-771f-5a84-b2f7-7c6f21eae122"",""uri"":""/agents/people/90573"",""id"":""au::901"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/083b6d4c-771f-5a84-b2f7-7c6f21eae122
8917ba23-eca9-5f7b-9430-3581ab67e853,tg:lhph:34355,e73_CreationActors,1,083b6d4c-771f-5a84-b2f7-7c6f21eae122,au::901,photographers,"dlod={""name"":""Marcel de Backer"",""ark"":""ark:/83110/x0/083b6d4c-771f-5a84-b2f7-7c6f21eae122"",""uri"":""/agents/people/90573"",""id"":""au::901"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/083b6d4c-771f-5a84-b2f7-7c6f21eae122
