ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language
151729a4-7ab4-5daa-95d6-9eb31512a9f3,tg:lhph:14757,e73_Descriptions,,id.desc,"Marie (midden) en Victor (achteraan) van Dessel, en nog iemand zitten in strandstoelen op het strand.",descriptive note,Nederlands
6045ff33-9c30-5077-afe1-3ee2c6d511e6,tg:lhph:40182,e73_Descriptions,,id.desc,"Karel Bogaers, borststuk, profiel naar links.",descriptive note,Nederlands
e2e08d65-98fb-52ce-9828-14a7576718a6,tg:lhph:4716,e73_Descriptions,,id.desc,"Willem de Mol, borststuk",descriptive note,Nederlands
fb0ff7a0-0010-5045-ae83-dce5e1486364,tg:lhph:20300,e73_Descriptions,,id.desc,Jan Emiel Daele in het Pand in Gent,descriptive note,Nederlands
a3256451-d91d-570b-ae87-83791035d308,tg:lhph:41488,e73_Descriptions,,id.desc,August Borms en Flor Grammens bij vertrek van Vlaamse kinderen naar Duitsland.,descriptive note,Nederlands
cb3cc2bd-4117-57f3-a591-b5a58fd77530,tg:lhph:30898,e73_Descriptions,,id.desc,"Frans Gittens, interieur: de salon, hoek met kast en schilderijen.",descriptive note,Nederlands
97d96c27-5a2f-54ec-ada7-29652cc89670,tg:lhph:1130,e73_Descriptions,,id.desc,Emmanuel de Bom zittend op stoel. Ten halven lijve.,descriptive note,Nederlands
af403367-1b59-5ead-b91b-f42580b3ea7f,tg:lhph:37147,e73_Descriptions,,id.desc,"Arca-Kelderteater:

Rolle Denert in gesprek met onbekend, in ""Het misverstand"", door Albert Camus
en onder regie van Daniël de Cock.",descriptive note,Nederlands
ba975792-b9a4-5550-b516-834d7d966f6e,tg:lhph:25526,e73_Descriptions,,id.desc,"Isidoor Opsomer; zittend, naar een schilderij kijkend in zijn atelier.",descriptive note,Nederlands
2ce1adfa-9311-5afc-886e-52b42a0e1a3f,tg:lhph:9285,e73_Descriptions,,id.desc,"Lode Baekelmans, hoofd, in de lens kijkend.",descriptive note,Nederlands
d7eab265-9baa-5ed3-b16d-2cec01125cf8,tg:lhph:35727,e73_Descriptions,,id.desc,"Het graf van Bert Leën; op achterkant vermeld: 'Onderwijzer, Daarna redacteur van 'Het Laatste Nieuws' en de 'Vlaamsche Gazet', en van 'Het Vrije Volk'(Tongeren).",descriptive note,Nederlands
e9c7f2d0-1c62-578b-867e-ecbf8d7775d5,tg:lhph:27346,e73_Descriptions,,id.desc,"Henri Picard, met echtgenote in de tuin. Hulde: "" Aan de den vriend herman en familie, (sign. dat.)",descriptive note,Nederlands
