ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
151729a4-7ab4-5daa-95d6-9eb31512a9f3,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ph/000014006,referentienummer,False
151729a4-7ab4-5daa-95d6-9eb31512a9f3,e73_LegacyInformation,1,brocade.id,tg:lhph:14757,brocade id,False
151729a4-7ab4-5daa-95d6-9eb31512a9f3,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhph:14757/N,brocade url,False
6045ff33-9c30-5077-afe1-3ee2c6d511e6,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ph/000038939,referentienummer,False
6045ff33-9c30-5077-afe1-3ee2c6d511e6,e73_LegacyInformation,1,brocade.id,tg:lhph:40182,brocade id,False
6045ff33-9c30-5077-afe1-3ee2c6d511e6,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhph:40182/N,brocade url,False
e2e08d65-98fb-52ce-9828-14a7576718a6,e73_LegacyInformation,1,if.rawcontent,HIRES013\Mol-Wde\mol01.tif,commentaar gebruiker,False
e2e08d65-98fb-52ce-9828-14a7576718a6,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ph/000004421,referentienummer,False
e2e08d65-98fb-52ce-9828-14a7576718a6,e73_LegacyInformation,1,brocade.id,tg:lhph:4716,brocade id,False
e2e08d65-98fb-52ce-9828-14a7576718a6,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhph:4716/N,brocade url,False
fb0ff7a0-0010-5045-ae83-dce5e1486364,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ph/000019379,referentienummer,False
fb0ff7a0-0010-5045-ae83-dce5e1486364,e73_LegacyInformation,1,brocade.id,tg:lhph:20300,brocade id,False
fb0ff7a0-0010-5045-ae83-dce5e1486364,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhph:20300/N,brocade url,False
a3256451-d91d-570b-ae87-83791035d308,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ph/000040212,referentienummer,False
a3256451-d91d-570b-ae87-83791035d308,e73_LegacyInformation,1,brocade.id,tg:lhph:41488,brocade id,False
a3256451-d91d-570b-ae87-83791035d308,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhph:41488/N,brocade url,False
cb3cc2bd-4117-57f3-a591-b5a58fd77530,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ph/000029806,referentienummer,False
cb3cc2bd-4117-57f3-a591-b5a58fd77530,e73_LegacyInformation,1,brocade.id,tg:lhph:30898,brocade id,False
cb3cc2bd-4117-57f3-a591-b5a58fd77530,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhph:30898/N,brocade url,False
97d96c27-5a2f-54ec-ada7-29652cc89670,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ph/000001019,referentienummer,False
97d96c27-5a2f-54ec-ada7-29652cc89670,e73_LegacyInformation,1,brocade.id,tg:lhph:1130,brocade id,False
97d96c27-5a2f-54ec-ada7-29652cc89670,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhph:1130/N,brocade url,False
af403367-1b59-5ead-b91b-f42580b3ea7f,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ph/000035929,referentienummer,False
af403367-1b59-5ead-b91b-f42580b3ea7f,e73_LegacyInformation,1,brocade.id,tg:lhph:37147,brocade id,False
