brocade.id,ResourceID,card,order,Comment,if.user,Legacy Comment Type
tg:lhph:2833,ff50b330-23a5-5a54-be81-c61883a518b0,Users,1,HIRES\Gilliams-M\mgil33.tif,usystem,commentaar gebruiker
tg:lhph:42397,05d64298-749d-55d1-aac7-937d9ecf5d20,Users,1,"Was foutief als 'Alb. Passen, 1920' ingeschreven op doss. P 2047/P. (vermeodelijk verwijderd).",usystem,commentaar gebruiker
tg:lhph:47195,65e19c5f-74bd-564c-a680-7a88e1099b2d,Users,1,"Geschenk André De Poorter, Gent. Foto: Eugène De Rycke.",usystem,commentaar gebruiker
tg:lhph:16030,2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,Users,1,HIRES\Rottiers-AK\rottiers01.tif,usystem,commentaar gebruiker
tg:lhph:41942,97d26865-82f1-5053-8403-0e505e73c673,Users,1,HIRES\Willekens-E\willekens01.tif,usystem,commentaar gebruiker
tg:lhph:30102,6ff9cac8-9b83-5c98-b844-5fa6712e8ff6,Users,1,HIRES\Jonckheere-K\jonck18.tif,usystem,commentaar gebruiker
tg:lhph:683,c2a62fab-721e-5a30-89f9-b5c344cf7b9a,Users,1,HIRES\Lampo-H\683p.tif,lwilmots,commentaar gebruiker
tg:lhph:6173,d1094849-49c8-5741-ab6e-c43cd84d5b0f,Users,1,HIRES\Woestijne-Gvande\gvdw06.tif,usystem,commentaar gebruiker
tg:lhph:7298,a89bf226-0b74-5eb8-a244-23a0e80e7ef3,Users,1,HIRES\Streuvels-S\streuvels64.tif,usystem,commentaar gebruiker
tg:lhph:6870,8ac79404-a9b3-5af2-bf87-94d89d9ec5c1,Users,1,HIRES019\Gijsen-R\rgijsen51.tif,usystem,commentaar gebruiker
tg:lhph:43569,413f2ca5-a867-5e5c-b3c6-35ce7205f5da,Users,1,HIRES\Elaut-L\elaut14.tif<br>Digitale scan van foto uit familiearchief,usystem,commentaar gebruiker
tg:lhph:45844,e1a4d40b-ef80-5267-bc23-e74334b3467e,Users,1,HIRES\Naessens-J\naessens05.tif,usystem,commentaar gebruiker
tg:lhph:29636,ea3df8db-10b2-515f-8064-5e83e2508e28,Users,1,"HIRES\Grootjans-F\grootj01.tif
",usystem,commentaar gebruiker
tg:lhph:26193,c6be2459-6b16-52bc-813a-05a813d3a7e1,Users,1,HIRES\Picard-H\picard01.tif,usystem,commentaar gebruiker
tg:lhph:22979,fb9bafe7-d35f-5d8d-8fc2-ea528dca353d,Users,1,HIRES\Nahon-A\nahon17.tif,usystem,commentaar gebruiker
tg:lhph:41387,07324e27-9716-5b25-bc5c-805755adde5a,Users,1,"nr. 16b uit album verwijderd, mogelijk voor reproductie in permanente tentoonstelling. (Belgisch loopgraven te Peryse)",usystem,commentaar gebruiker
tg:lhph:20694,560afe5e-149e-57ab-8d34-da3e4dd2f7df,Users,1,Bij Het Laatste Nieuws werkte een zekere De Maegt maar dit is waarschijnlijk niet de persoon die de foto heeft genomen/gesigneerd aangezien de naam op de foto anders gespeld wordt. ,usystem,commentaar gebruiker
tg:lhph:33542,3b8c5eda-22e6-5d27-8bf6-e8351448375f,Users,1,Deze film van Pliet van Lishout geraakte niet voltooid. ,usystem,commentaar gebruiker
tg:lhph:5163,58a9ed17-748f-51ae-8fdc-3f79abd149aa,Users,1,FTBJ\ft-0039.tif ,usystem,commentaar gebruiker
tg:lhph:9510,9fbcee27-c647-51ba-8e9b-f160ffd3dbe1,Users,1,Barbaix-E\bom18.tif,usystem,commentaar gebruiker
tg:lhph:5860,f578c628-a248-5eb1-a85f-606ee03fd7e0,Users,1,Inschrijvingsnummer: eerste cijfer = 7 ??,usystem,commentaar gebruiker
tg:lhph:11599,39114e86-12ee-5676-9ddd-fabf3335a250,Users,1,HIRES\Cauwelaert-Avan\acauw05.tif,usystem,commentaar gebruiker
tg:lhph:9005,c89df049-d4ae-5fcc-81ef-98bf152a264e,Users,1,HIRES007\Roelants-M\roel03.tif,usystem,commentaar gebruiker
tg:lhph:32646,078d9c47-fc3c-5891-b1a1-275de2914717,Users,1,HIRES\Joostens-P\joostens03.tif,usystem,commentaar gebruiker
tg:lhph:35479,6e84948c-555f-524c-bde7-26c6a15309b9,Users,1,HIRES\Ledeganck-KL\lede03.tif,usystem,commentaar gebruiker
tg:lhph:43181,2fcf4ce4-cf36-5381-a8e8-6c1d2770abeb,Users,1,Aankoop De Slechte.,usystem,commentaar gebruiker
tg:lhph:10019,53e337e7-c7e2-55b0-9e83-08245c5bb42d,Users,1,HIRES\Simons-J\simons03.tif,usystem,commentaar gebruiker
