Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card
tg:mpmtk:36,Tekeningen,7179bdd9-690d-53ab-a1bf-99848c8138b2,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/7179bdd9-690d-53ab-a1bf-99848c8138b2,repository numbers,object identifier,0,AA
tg:mpmtk:37,Tekeningen,74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,repository numbers,object identifier,0,AA
tg:mpmtk:21,Tekeningen,e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,repository numbers,object identifier,0,AA
tg:mpmtk:26,Tekeningen,ad8839e6-3553-5f26-9c38-c52a8ec05cb8,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ad8839e6-3553-5f26-9c38-c52a8ec05cb8,repository numbers,object identifier,0,AA
tg:mpmtk:31,Tekeningen,92b6bc82-97d3-511b-b41e-09c0ea48083e,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/92b6bc82-97d3-511b-b41e-09c0ea48083e,repository numbers,object identifier,0,AA
tg:mpmtk:27,Tekeningen,7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,repository numbers,object identifier,0,AA
tg:mpmtk:11,Tekeningen,3d7a61cb-2404-5110-ae89-8b5ff60be96b,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/3d7a61cb-2404-5110-ae89-8b5ff60be96b,repository numbers,object identifier,0,AA
tg:mpmtk:28,Tekeningen,5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,repository numbers,object identifier,0,AA
tg:mpmtk:32,Tekeningen,00d08c3f-d02d-5604-bcb4-b1036cf771a6,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/00d08c3f-d02d-5604-bcb4-b1036cf771a6,repository numbers,object identifier,0,AA
tg:mpmtk:24,Tekeningen,251d4f80-80c8-5190-a8e5-e63866de74cd,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/251d4f80-80c8-5190-a8e5-e63866de74cd,repository numbers,object identifier,0,AA
tg:mpmtk:33,Tekeningen,b7844246-831e-5339-bb8e-494ce76fca52,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/b7844246-831e-5339-bb8e-494ce76fca52,repository numbers,object identifier,0,AA
tg:mpmtk:29,Tekeningen,6e00a7bd-8a35-5967-8fa7-543a30c85074,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/6e00a7bd-8a35-5967-8fa7-543a30c85074,repository numbers,object identifier,0,AA
tg:mpmtk:34,Tekeningen,5355e3fa-7908-52d1-9652-e164ac0c8c43,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/5355e3fa-7908-52d1-9652-e164ac0c8c43,repository numbers,object identifier,0,AA
tg:mpmtk:22,Tekeningen,ac9d2a5c-033f-511c-a651-d32fc8b9cb89,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/ac9d2a5c-033f-511c-a651-d32fc8b9cb89,repository numbers,object identifier,0,AA
tg:mpmtk:15,Tekeningen,c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,repository numbers,object identifier,0,AA
tg:mpmtk:39,Tekeningen,8386be2c-d073-50f9-b5c8-923ae1460715,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/8386be2c-d073-50f9-b5c8-923ae1460715,repository numbers,object identifier,0,AA
tg:mpmtk:19,Tekeningen,f2a88090-8fa8-59c3-a946-6065c95ecdcb,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/f2a88090-8fa8-59c3-a946-6065c95ecdcb,repository numbers,object identifier,0,AA
tg:mpmtk:23,Tekeningen,b352a12a-d714-52f2-894d-3f3bd5481d42,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/b352a12a-d714-52f2-894d-3f3bd5481d42,repository numbers,object identifier,0,AA
tg:mpmtk:35,Tekeningen,f9f1deb6-85f5-53d9-b775-253f66648d52,Museum Plantin-Moretus,https://data.museumplantinmoretus.be/ark:/11975/f9f1deb6-85f5-53d9-b775-253f66648d52,repository numbers,object identifier,0,AA
