ResourceID,card,External Relation URL Prefix,External Relation URL,source_field,Language,ResourceID_mat,mmb_id,mmb_id_mat,order,Material Records,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Description Type,Description Language,Description,Record Type
00177e71-0d41-5011-b82e-5c0c60b5f89e,AA,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/00177e71-0d41-5011-b82e-5c0c60b5f89e,object identifier,tg:mmbbr:126,record identifiers,MMB.A.0126,descriptive note,Nederlands,de aankopen uit de collectie Olivier,Brieven
00177e71-0d41-5011-b82e-5c0c60b5f89e,e73_Languages,,,taal 1,French (language),,,,,,,,,,,,,,
00177e71-0d41-5011-b82e-5c0c60b5f89e,e73_MaterialRecords,,,,,e3b761ef-ac68-50bf-a456-aea7f709a1c2,tg:mmbbr:126,tg:mmbbr:126_#1,1,"[{""resourceId"": ""e3b761ef-ac68-50bf-a456-aea7f709a1c2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f32bf8d3-9ff1-4664-a526-09bfed97700c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
00216f28-d524-5d3f-a4db-6164351c9333,AA,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/00216f28-d524-5d3f-a4db-6164351c9333,object identifier,tg:mmbbr:1445,record identifiers,MMB.A.1445,descriptive note,Nederlands,In verband met de Sint Henricusstichting,Brieven
00216f28-d524-5d3f-a4db-6164351c9333,e73_Languages,,,taal 1,French (language),,,,,,,,,,,,,,
00216f28-d524-5d3f-a4db-6164351c9333,e73_MaterialRecords,,,,,82d7e687-63f6-502e-93c8-6ce444f75619,tg:mmbbr:1445,tg:mmbbr:1445_#1,1,"[{""resourceId"": ""82d7e687-63f6-502e-93c8-6ce444f75619"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dcf53ce1-d972-4398-95ae-ecdbf35147c5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
004b6ee8-29ec-5d3e-92db-e7c9f511d84e,AA,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/004b6ee8-29ec-5d3e-92db-e7c9f511d84e,object identifier,tg:mmbbr:530,record identifiers,MMB.A.0530,descriptive note,Nederlands,"de aankoop van zeven boeken geschreven door Baert de Reiffenberg, Busscher, Horsin, Mensaert, Spruyt, Coles Postal, Laborde",Brieven
004b6ee8-29ec-5d3e-92db-e7c9f511d84e,e73_Languages,,,taal 1,French (language),,,,,,,,,,,,,,
004b6ee8-29ec-5d3e-92db-e7c9f511d84e,e73_MaterialRecords,,,,,9c9bced2-5604-554f-80cb-654ce91876aa,tg:mmbbr:530,tg:mmbbr:530_#1,1,"[{""resourceId"": ""9c9bced2-5604-554f-80cb-654ce91876aa"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fa7783ec-963b-40fe-82af-5477dfc82226"", ""inverseOntologyProperty"": """"}]",,,,,,,,,
005263cc-4062-5e33-894c-b2ba48b1b11b,AA,,,,,,,,0,,https://data.museummayervandenbergh.be/ark:/59511/005263cc-4062-5e33-894c-b2ba48b1b11b,object identifier,tg:mmbbr:1610,record identifiers,MMB.A.1610,descriptive note,Nederlands,Bedanking voor catalogus,Brieven
