ResourceID,Record ID,id,Production Place Identifier,Production Place Widget
5ed045c7-9197-587a-8b83-a9fc7c64bf51,tg:lhob:414,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
f88b49eb-3644-548a-8ad2-57f9deb7b1c1,tg:lhob:415,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
5cf6fb19-8a38-5706-90ee-85f1a946e015,tg:lhob:416,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
2acbdd19-0ecf-5e7c-8ba8-98a18c399fe7,tg:lhob:417,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
901c2aaf-2deb-5003-a479-6eddfd432db1,tg:lhob:418,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
eb71e65b-6bec-5bd3-9d66-4cea4f014c6e,tg:lhob:419,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
d1a3ea5b-98c7-5670-8d8b-e0e98ca3acba,tg:lhob:693,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,tg:lhob:699,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
c344fa49-3a39-5794-bb9f-5220ea13b07c,tg:lhsc:9372,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
a4c09d85-9233-5484-afc0-799cae720c5c,tg:lhsc:5748,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
2e746cce-f1cf-51da-a6b9-df0237c68279,tg:lhsc:9370,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
05634d34-0886-5578-bf83-7c4d06355f42,tg:lhsc:9373,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
eec14c7b-5076-5a49-ad57-ed8608f363e3,tg:lhsc:9407,au::100141,ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab,"dlod={""id"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""subject"",""json"":""""}"
