ResourceID,brocade.id,card,order,source_field,source_code,Colour
ab42045f-6e40-5c85-9079-435c3680d52a,tg:lhob:115,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzw,black (color)
5ebb0f3c-cace-5b57-9dc3-cf73efb31735,tg:lhob:338,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzw,black (color)
06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,tg:lhob:695,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzw,black (color)
2c34ea20-351b-5681-8156-6799501d4711,tg:lhob:380,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzi,silver (color)
0e3c664a-3014-5589-93a4-614dc7ed5327,tg:lhob:103,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kwt,white (color)
76a01cb8-b151-59c3-b593-b02b67de188f,tg:lhob:343,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzi,silver (color)
a319e252-eb18-5a27-80bb-fa2132d48bf9,tg:lhob:98,Colours,1,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kor,gold (color)
a319e252-eb18-5a27-80bb-fa2132d48bf9,tg:lhob:98,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kdr,brown (color)
89346987-6164-5d91-94a1-ab22af09b8e9,tg:lhob:77,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kbr,brown (color)
0f54d3fa-a71c-5e14-ba61-7ea676a233b3,tg:lhob:640,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kor,gold (color)
ea53cb96-164a-5f60-9d88-a1fab88260d0,tg:lhob:139,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzw,black (color)
c2b8a3e8-a46f-5bf6-96e7-c8d288dabfe0,tg:lhob:617,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzi,silver (color)
56f69663-9f7c-52d9-9357-879ddc002097,tg:lhob:302,Colours,1,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kzw,black (color)
56f69663-9f7c-52d9-9357-879ddc002097,tg:lhob:302,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kor,gold (color)
036efff3-bcb1-5176-9ca3-d2a37c44220c,tg:lhob:181,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kwt,white (color)
aa7620ed-b248-5012-801d-44af139e0277,tg:lhob:230,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kbr,brown (color)
6568f72d-9329-5ca8-affd-da8775f9b2ca,tg:lhob:660,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kor,gold (color)
42f6290b-a696-5dc3-a692-36b9e0e67b51,tg:lhob:158,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzw,black (color)
5369b966-631a-5143-9518-ea27c85249e3,tg:lhob:334,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kbr,brown (color)
a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,tg:lhob:699,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kwt,white (color)
06921aaa-1516-5f27-a96a-bf985f5e3171,tg:lhob:363,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kor,gold (color)
1e5a2451-acba-564b-95bc-c7b12f049888,tg:lhob:226,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kwt,white (color)
38b2d592-a7a1-5130-9e10-1b2c7a4af8ad,tg:lhob:174,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kge,yellow (color)
1f5bc828-1571-526d-8f90-d50114b812c8,tg:lhob:94,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kjs,gray (color)
52ee1d6d-2804-50d3-bfd3-61042162ed3c,tg:lhob:709,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kwt,white (color)
bbd8ed56-93f4-5c59-bf7e-d07fd96d4ae1,tg:lhob:359,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kbr,brown (color)
952bcc33-f731-577a-a040-d6d6e8c30fc0,tg:lhob:162,Colours,1,kenmerken/lhmateriaalob.lhmateriaalkleurob,kzw,black (color)
4f887d02-75a6-5ce8-b12c-e5b38da7ee6c,tg:lhob:358,Colours,1,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kge,yellow (color)
