ResourceID,brocade.id,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,adm.note,Serial Number,Warehouse Location (begin),Warehouse Location (ende)
f054665f-e89b-5527-b4be-e1d47a4263cb,tg:lhph:30552,Items,1,tr:lh:9510,218458/312,isad:lh:95309,B 1183 / P (NEG0029/4/10),,,,
87f8effb-7485-5d82-846f-99bff333cfc0,tg:lhph:37297,Items,1,tr:lh:9510,218458/2113,isad:lh:95309,B 1183 / P (NEG00231/3/2),,,,
8552fda5-f4c2-5a7e-8227-3626a972e7c1,tg:lhph:3721,Items,1,tr:lh:2563,50590/7,,Z 317 / P,,,,
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,Items,1,tr:lh:139982,221465/11,isad:lh:95064,N 4935 / P,,,,
ff50b330-23a5-5a54-be81-c61883a518b0,tg:lhph:2833,Items,1,tr:lh:6603,163141/830,isad:lh:93324,G 395 / P,,,,
bfc0ee81-10b3-54bd-8ca4-61147179c437,tg:lhph:29289,Items,1,tr:lh:4066,77910/3,,R 22 / P,,,,
94fe2532-900e-5ed6-ba1f-becb3618e2da,tg:lhph:23684,Items,1,tr:lh:7009,176412/9,isad:lh:93322,I 5578815 / P,,,,
f90accfd-a381-51aa-a1d4-83618b68b83f,tg:lhph:24141,Items,1,tr:lh:467,9197,,V 15531 / P,,,,
05d64298-749d-55d1-aac7-937d9ecf5d20,tg:lhph:42397,Items,1,tr:lh:210,3556/1,isad:lh:95681,P 205 / P,,,,
4c4c99a5-d95e-5ec7-92c2-8931ced9578a,tg:lhph:13232,Items,1,,33583/71,,B 9746 / P,,,,
c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,tg:lhph:45452,Items,1,,27381/124,,D 3155 / P,,,,
c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,tg:lhph:45452,Items,2,tr:lh:1892,33651/3,isad:lh:93655,D 3155 / P,,,,
f38c9cdd-2aff-5406-a5fb-831ee705ab9b,tg:lhph:22996,Items,1,tr:lh:5113,101045/129,,N 135 / P,,,,
