ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier
f054665f-e89b-5527-b4be-e1d47a4263cb,tg:lhph:30552,Acquisitions,1,tr:lh:9510,"dlod={""name"":""Archief van Marcel de Backer"",""ark"":""ark:/24970/x0/2d09a17d-9be4-5535-9c37-184ba32458d7"",""uri"":""/repositories/11/accessions/15068"",""id"":""tr:lh:9510"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/2d09a17d-9be4-5535-9c37-184ba32458d7
87f8effb-7485-5d82-846f-99bff333cfc0,tg:lhph:37297,Acquisitions,1,tr:lh:9510,"dlod={""name"":""Archief van Marcel de Backer"",""ark"":""ark:/24970/x0/2d09a17d-9be4-5535-9c37-184ba32458d7"",""uri"":""/repositories/11/accessions/15068"",""id"":""tr:lh:9510"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/2d09a17d-9be4-5535-9c37-184ba32458d7
8552fda5-f4c2-5a7e-8227-3626a972e7c1,tg:lhph:3721,Acquisitions,1,tr:lh:2563,"dlod={""name"":""Schenking van Eugeen de Bock"",""ark"":""ark:/24970/x0/346a40f3-1318-541c-8252-f9d94cb84986"",""uri"":""/repositories/11/accessions/15859"",""id"":""tr:lh:2563"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/346a40f3-1318-541c-8252-f9d94cb84986
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,Acquisitions,1,tr:lh:139982,"dlod={""name"":""materiaal m.b.t. Jan van Nijlen"",""ark"":""ark:/24970/x0/1fbe6e23-801e-53c4-ab57-e95c4e44b7ed"",""uri"":""/repositories/11/accessions/11994"",""id"":""tr:lh:139982"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/1fbe6e23-801e-53c4-ab57-e95c4e44b7ed
ff50b330-23a5-5a54-be81-c61883a518b0,tg:lhph:2833,Acquisitions,1,tr:lh:6603,"dlod={""name"":""Archief van Maurice Gilliams"",""ark"":""ark:/24970/x0/9ca27841-2a4f-50b9-9b1f-0d6982186e75"",""uri"":""/repositories/11/accessions/17545"",""id"":""tr:lh:6603"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/9ca27841-2a4f-50b9-9b1f-0d6982186e75
bfc0ee81-10b3-54bd-8ca4-61147179c437,tg:lhph:29289,Acquisitions,1,tr:lh:4066,"dlod={""name"":""Aankoop bij Filip Tas"",""ark"":""ark:/24970/x0/4e9a0a72-9ce2-5006-b6f0-0682e848f7b3"",""uri"":""/repositories/11/accessions/12084"",""id"":""tr:lh:4066"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/4e9a0a72-9ce2-5006-b6f0-0682e848f7b3
94fe2532-900e-5ed6-ba1f-becb3618e2da,tg:lhph:23684,Acquisitions,1,tr:lh:7009,"dlod={""name"":""Archiefstukken van Frans Dille"",""ark"":""ark:/24970/x0/eb19ec8b-4605-5bbb-8883-207c77a6ab3e"",""uri"":""/repositories/11/accessions/15329"",""id"":""tr:lh:7009"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/eb19ec8b-4605-5bbb-8883-207c77a6ab3e
f90accfd-a381-51aa-a1d4-83618b68b83f,tg:lhph:24141,Acquisitions,1,tr:lh:467,"dlod={""name"":""Schenking van Jan Vanderheyden in verband met de film De Witte"",""ark"":""ark:/24970/x0/fb7d362c-4c80-567e-8c5a-3c45bd5ae809"",""uri"":""/repositories/11/accessions/14027"",""id"":""tr:lh:467"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/fb7d362c-4c80-567e-8c5a-3c45bd5ae809
05d64298-749d-55d1-aac7-937d9ecf5d20,tg:lhph:42397,Acquisitions,1,tr:lh:210,"dlod={""name"":""Archiefstukken van Robert van Passen"",""ark"":""ark:/24970/x0/1e92e391-a5d2-59b6-af59-98c1a9c079ac"",""uri"":""/repositories/11/accessions/17853"",""id"":""tr:lh:210"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/1e92e391-a5d2-59b6-af59-98c1a9c079ac
c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,tg:lhph:45452,Acquisitions,2,tr:lh:1892,"dlod={""name"":""Archief van Arthur Henry Cornette"",""ark"":""ark:/24970/x0/5eb0c7fe-aeb3-5ef0-bb86-6e611842e0da"",""uri"":""/repositories/11/accessions/17911"",""id"":""tr:lh:1892"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/5eb0c7fe-aeb3-5ef0-bb86-6e611842e0da
