ResourceID,brocade.id,card,order,ire.isaar.uuid,Brocade Production Actor ID,Production Actor Role,Production Actor Widget,Production Actor Identifier
68a09ff2-b4bf-5cc1-979b-96655a7771a5,tg:mpmph:16,ProductionActors,1,d2a1e3ec-f60a-5b72-a987-a56132888428,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428
68a09ff2-b4bf-5cc1-979b-96655a7771a5,tg:mpmph:16,ProductionActors,7,42798d8a-4823-5ee0-95af-a23264d6dc00,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00
839033c8-e69d-5629-948b-144adfab957f,tg:mpmph:11,ProductionActors,1,83a38e7a-7fb6-505f-b735-35e89b0c47d7,au::7150,photographers,"dlod={""id"":""ark:/83110/x0/83a38e7a-7fb6-505f-b735-35e89b0c47d7"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/83a38e7a-7fb6-505f-b735-35e89b0c47d7
839033c8-e69d-5629-948b-144adfab957f,tg:mpmph:11,ProductionActors,7,42798d8a-4823-5ee0-95af-a23264d6dc00,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,ProductionActors,1,d2a1e3ec-f60a-5b72-a987-a56132888428,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,ProductionActors,6,42798d8a-4823-5ee0-95af-a23264d6dc00,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00
de60bf3e-8106-5377-b9d7-dfd48da0c477,tg:mpmph:13,ProductionActors,1,30f37147-b9b1-593a-94ac-a6372ac4c037,au::20562,photographers,"dlod={""id"":""ark:/83110/x0/30f37147-b9b1-593a-94ac-a6372ac4c037"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/30f37147-b9b1-593a-94ac-a6372ac4c037
de60bf3e-8106-5377-b9d7-dfd48da0c477,tg:mpmph:13,ProductionActors,7,42798d8a-4823-5ee0-95af-a23264d6dc00,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,ProductionActors,1,d2a1e3ec-f60a-5b72-a987-a56132888428,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428
177dc347-eab9-5aa9-9bed-bcc55aa5c471,tg:mpmph:14,ProductionActors,7,42798d8a-4823-5ee0-95af-a23264d6dc00,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,ProductionActors,1,d2a1e3ec-f60a-5b72-a987-a56132888428,au::4838,photographers,"dlod={""id"":""ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d2a1e3ec-f60a-5b72-a987-a56132888428
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,ProductionActors,7,42798d8a-4823-5ee0-95af-a23264d6dc00,au::13308,originators (administrative),"dlod={""id"":""ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/42798d8a-4823-5ee0-95af-a23264d6dc00
