ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type
3159e30b-0519-5d76-9ffe-5d6659dd7f9d,tg:lhps:14757_#1,e22_AcquisitionNumbers,1,215280/1,aanwinst nummer
3ae49743-fa9c-5e1c-8dc7-26dbaf7054d2,tg:lhps:40182_#1,e22_AcquisitionNumbers,1,225271/242,aanwinst nummer
6cbe6e53-ba63-51e2-96e0-c34a636f9858,tg:lhps:20300_#1,e22_AcquisitionNumbers,1,215065,aanwinst nummer
d2673230-d0b2-551f-8d16-385ccad62865,tg:lhps:11171_#1,e22_AcquisitionNumbers,1,200382/29,aanwinst nummer
fb346e65-3e35-5afb-b442-7860e43cd633,tg:lhps:41488_#1,e22_AcquisitionNumbers,1,225276/28,aanwinst nummer
c1b87bd1-b252-589f-a00b-6d8d57168e43,tg:lhps:30898_#1,e22_AcquisitionNumbers,1,225263/820,aanwinst nummer
eb94d878-d4e8-5899-993f-387995e390ec,tg:lhps:10399_#3,e22_AcquisitionNumbers,3,170737,aanwinst nummer
919b0029-e652-5f15-a53c-398ec9c884fe,tg:lhps:1130_#1,e22_AcquisitionNumbers,1,55994,aanwinst nummer
fbf79037-ab90-5de9-843b-fa4eed1508cf,tg:lhps:25526_#1,e22_AcquisitionNumbers,1,225255/351,aanwinst nummer
2e6d71b9-c982-5956-aedb-8beb6acd31dc,tg:lhps:9285_#1,e22_AcquisitionNumbers,1,184299,aanwinst nummer
dd88f2fd-ce98-5056-8007-36906a9b0bdd,tg:lhps:35727_#1,e22_AcquisitionNumbers,1,225272/2955,aanwinst nummer
0a80aa3a-ace8-5c56-8cc9-43e3c404b765,tg:lhps:27346_#1,e22_AcquisitionNumbers,1,225212/4263,aanwinst nummer
ff384740-20d2-5164-870b-5c55f36a0b46,tg:lhps:3750_#1,e22_AcquisitionNumbers,1,183188/1,aanwinst nummer
038de81e-5a5e-5c1f-815c-963abccc0911,tg:lhps:51689_#1,e22_AcquisitionNumbers,1,225295/76,aanwinst nummer
bb0aba7d-20a2-5209-9e12-f6dcd5d309b9,tg:lhps:13711_#1,e22_AcquisitionNumbers,1,214245,aanwinst nummer
7743569f-2dd9-5262-94f3-df689245d670,tg:lhps:12867_#2,e22_AcquisitionNumbers,2,225261/293,aanwinst nummer
e7655111-bc0b-568b-a23a-8a02a2c7386c,tg:lhps:22560_#1,e22_AcquisitionNumbers,1,225212/1265,aanwinst nummer
604e0a23-b10e-5de6-85f6-79551bbf6d81,tg:lhps:30101_#1,e22_AcquisitionNumbers,1,225265/84,aanwinst nummer
88af8fea-34d8-5f31-a080-a4003cd206f0,tg:lhps:6176_#1,e22_AcquisitionNumbers,1,237051,aanwinst nummer
09548001-9d3c-5601-a908-032e640fdd65,tg:lhps:16137_#1,e22_AcquisitionNumbers,1,215958,aanwinst nummer
d622ca46-3aed-54a3-a812-31d1e4877189,tg:lhps:2826_#2,e22_AcquisitionNumbers,2,225212/77,aanwinst nummer
d0873409-e171-5936-9fa9-e4dbae4486c6,tg:lhps:10503_#1,e22_AcquisitionNumbers,1,195718,aanwinst nummer
711951e3-b76b-5a63-9cbe-a2221cdc33e8,tg:lhps:61913_#1,e22_AcquisitionNumbers,1,225267/675,aanwinst nummer
d2d82227-ef8c-531a-9102-bba5b4c895a2,tg:lhps:32619_#1,e22_AcquisitionNumbers,1,225272/516,aanwinst nummer
5e575554-81f9-5f27-9d8f-c580407412a1,tg:lhps:20278_#1,e22_AcquisitionNumbers,1,215064/16a,aanwinst nummer
35457f3f-7d98-56b4-adac-899e6ce4d0cd,tg:lhps:47925_#1,e22_AcquisitionNumbers,1,225212/471,aanwinst nummer
569b1644-17a1-5d85-a133-6931fa737eb2,tg:lhps:36535_#1,e22_AcquisitionNumbers,1,225272/1692,aanwinst nummer
509449e1-ff50-5133-a93d-e5c75422f1d7,tg:lhps:24154_#1,e22_AcquisitionNumbers,1,225212/2163,aanwinst nummer
8db95ebe-1790-5447-b6f8-8f01e74c93df,tg:lhps:15325_#1,e22_AcquisitionNumbers,1,170252/1,aanwinst nummer
8b22d57e-e3d9-587d-9161-4970e8760faf,tg:lhps:598_#1,e22_AcquisitionNumbers,1,55864,aanwinst nummer
ea4c25bc-7f27-524c-94db-01ffcf2c154f,tg:lhps:1048_#1,e22_AcquisitionNumbers,1,236265,aanwinst nummer
14e0100d-980a-5e79-aa72-4e96a835b911,tg:lhps:11009_#1,e22_AcquisitionNumbers,1,185883,aanwinst nummer
64feef45-dbe7-5594-a8ff-92f552969ecb,tg:lhps:28854_#1,e22_AcquisitionNumbers,1,225262/94,aanwinst nummer
f15f1896-2801-58d1-973c-2172cda9079b,tg:lhps:5364_#1,e22_AcquisitionNumbers,1,237252/1,aanwinst nummer
38b69a48-376c-538d-b806-9f425a7a7a9b,tg:lhps:21772_#1,e22_AcquisitionNumbers,1,252212/361,aanwinst nummer
9dc44903-80e8-5ce4-bd60-b162b4bc50b2,tg:lhps:33313_#1,e22_AcquisitionNumbers,1,225272/1215,aanwinst nummer
7128e127-0254-5279-a341-dcef71ec987b,tg:lhps:43390_#1,e22_AcquisitionNumbers,1,225284/89,aanwinst nummer
589d4a13-f22e-5269-a710-5382efdb9320,tg:lhps:40963_#1,e22_AcquisitionNumbers,1,225273/216,aanwinst nummer
6d76733b-328f-500e-bde9-71a1b12cfb0c,tg:lhps:13669_#1,e22_AcquisitionNumbers,1,214202,aanwinst nummer
c6d812ee-302e-5328-ba66-d5d37222a025,tg:lhps:23112_#1,e22_AcquisitionNumbers,1,225235/46,aanwinst nummer
0c730fbb-6f35-53f6-9397-7930a89026cb,tg:lhps:31573_#1,e22_AcquisitionNumbers,1,225267/417,aanwinst nummer
f988bb2a-78cc-59f2-8b68-94aadbabe316,tg:lhps:7504_#1,e22_AcquisitionNumbers,1,182346,aanwinst nummer
6d6c97c5-9532-5478-9549-39887e306ca2,tg:lhps:17545_#1,e22_AcquisitionNumbers,1,217182,aanwinst nummer
7c75707b-107f-52c9-8530-07b67911a41f,tg:lhps:3628_#1,e22_AcquisitionNumbers,1,239934,aanwinst nummer
3064682c-9333-561c-a57f-55e321e9a111,tg:lhps:26734_#1,e22_AcquisitionNumbers,1,225212/3716,aanwinst nummer
2ecdeafb-9d9d-5f49-8424-e0ac0e9423d5,tg:lhps:2322_#1,e22_AcquisitionNumbers,1,225261/381,aanwinst nummer
7887a014-4ab1-5b4d-8305-77a35cb46dc6,tg:lhps:53808_#1,e22_AcquisitionNumbers,1,225298/67,aanwinst nummer
5e47b40e-5caf-57ad-980f-267698d5bb41,tg:lhps:12363_#1,e22_AcquisitionNumbers,1,203532/63,aanwinst nummer
369e427f-8b3c-5aaf-8c46-6d37489fac7b,tg:lhps:11990_#1,e22_AcquisitionNumbers,1,200848/202-203-204,aanwinst nummer
ff804689-3d2e-5989-8791-44d71dbcec88,tg:lhps:30079_#1,e22_AcquisitionNumbers,1,225265/60,aanwinst nummer
b6a45e03-18b1-5b19-aaa1-7e5d9d99e5f8,tg:lhps:48933_#2,e22_AcquisitionNumbers,2,216829/601,aanwinst nummer
60ad063c-86ce-59c2-92f7-2c330077a124,tg:lhps:13701_#1,e22_AcquisitionNumbers,1,214235,aanwinst nummer
9d39f8da-99e0-56d2-bcd6-8c16e480bcd8,tg:lhps:51699_#1,e22_AcquisitionNumbers,1,225295/86,aanwinst nummer
1190e1a4-1b05-578a-9b96-7e0ac7d1f582,tg:lhps:9295_#1,e22_AcquisitionNumbers,1,184309,aanwinst nummer
b220fb34-ea78-5a8c-9953-541c94264b10,tg:lhps:3740_#1,e22_AcquisitionNumbers,1,183262,aanwinst nummer
61a52dc4-c74e-5e8d-854d-0c4e8f1e3e82,tg:lhps:27356_#1,e22_AcquisitionNumbers,1,225212/4273,aanwinst nummer
55cabf4b-1f07-57a7-a939-f93fedc682ce,tg:lhps:50393_#1,e22_AcquisitionNumbers,1,225294/116,aanwinst nummer
6f2f99b6-f375-5133-b9ff-142c261f5297,tg:lhps:6166_#1,e22_AcquisitionNumbers,1,237062,aanwinst nummer
dfc8a720-6dcb-5863-9f9c-f9c3c97e4c31,tg:lhps:48227_#1,e22_AcquisitionNumbers,1,225292/227,aanwinst nummer
325cc435-673a-52b7-85f0-08278fd29e81,tg:lhps:30111_#1,e22_AcquisitionNumbers,1,225265/95,aanwinst nummer
8b813adc-3cc8-538b-9271-5ca9002d8a1c,tg:lhps:22570_#1,e22_AcquisitionNumbers,1,225212/1272,aanwinst nummer
219f8203-49e3-5223-8d21-5b391f05ab58,tg:lhps:40192_#1,e22_AcquisitionNumbers,1,225271/252,aanwinst nummer
b6f78f7d-ae80-5bb8-b99e-4191ab769281,tg:lhps:32771_#1,e22_AcquisitionNumbers,1,225272/661,aanwinst nummer
9f86825b-0a67-513f-a9ab-f3e0ea3446a0,tg:lhps:20310_#1,e22_AcquisitionNumbers,1,215064/42a,aanwinst nummer
