ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
af78f121-3782-5e85-b6ab-b573a281e6d8,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ps/000014243,referentienummer,False
af78f121-3782-5e85-b6ab-b573a281e6d8,e73_LegacyInformation,1,brocade.id,tg:lhps:14757,brocade id,False
af78f121-3782-5e85-b6ab-b573a281e6d8,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhps:14757/N,brocade url,False
efdece0b-2f77-5c99-8f33-2e5fb2a14146,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ps/000036189,referentienummer,False
efdece0b-2f77-5c99-8f33-2e5fb2a14146,e73_LegacyInformation,1,brocade.id,tg:lhps:40182,brocade id,False
efdece0b-2f77-5c99-8f33-2e5fb2a14146,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhps:40182/N,brocade url,False
ee59d718-19e6-5e53-9559-0070c47ce55b,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ps/000058095,referentienummer,False
ee59d718-19e6-5e53-9559-0070c47ce55b,e73_LegacyInformation,1,brocade.id,tg:lhps:62298,brocade id,False
ee59d718-19e6-5e53-9559-0070c47ce55b,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhps:62298/N,brocade url,False
96929729-77ba-5fda-8838-ee32a4693ff7,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ps/000053832,referentienummer,False
96929729-77ba-5fda-8838-ee32a4693ff7,e73_LegacyInformation,1,brocade.id,tg:lhps:58036,brocade id,False
96929729-77ba-5fda-8838-ee32a4693ff7,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhps:58036/N,brocade url,False
62a4d454-6e53-5d15-ad46-0b29fd9e2fab,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ps/000019673,referentienummer,False
62a4d454-6e53-5d15-ad46-0b29fd9e2fab,e73_LegacyInformation,1,brocade.id,tg:lhps:20300,brocade id,False
62a4d454-6e53-5d15-ad46-0b29fd9e2fab,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhps:20300/N,brocade url,False
d89cede1-6a11-592f-99c8-6db98eca4e1e,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ps/000010881,referentienummer,False
d89cede1-6a11-592f-99c8-6db98eca4e1e,e73_LegacyInformation,1,brocade.id,tg:lhps:11171,brocade id,False
d89cede1-6a11-592f-99c8-6db98eca4e1e,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhps:11171/N,brocade url,False
38740009-4ebe-5038-9dfa-59746a5ebf72,e73_LegacyInformation,0,id.objectNumber,BE-ANN07/ps/000037458,referentienummer,False
38740009-4ebe-5038-9dfa-59746a5ebf72,e73_LegacyInformation,1,brocade.id,tg:lhps:41488,brocade id,False
