ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type
4556fdab-4cd6-5bad-9f48-7527d4b9e8d1,tg:lhps:50383,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Twee ex.</p>
","<p>Twee ex.</p>
",Nederlands,remarks
837e150f-1c84-5c52-b6bb-35a312b93317,tg:lhps:10503,e73_AnnotationsImmaterial,1,note.lhalg,"<p>2e ex. in Franse taal</p>
","<p>2e ex. in Franse taal</p>
",Nederlands,remarks
f2bcf0d5-7ebb-5fdb-b0ae-7bc43d81003f,tg:lhps:32619,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Aankondiging voor het tijdschrift &quot;Paris-Mode&quot;</p>
<p>Kleurenlithografie; gesign. l.o. &quot;Maurice Réalier-Dumas inv.</p>
","<p>Aankondiging voor het tijdschrift &quot;Paris-Mode&quot;</p>
<p>Kleurenlithografie; gesign. l.o. &quot;Maurice Réalier-Dumas inv.</p>
",Nederlands,remarks
715c60c4-464a-5bc9-b9d1-5f12feaaf76e,tg:lhps:36535,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Kleurenlithografie; gesign. r.o. in het beeldvlak &quot;E. Hodel</p>
","<p>Kleurenlithografie; gesign. r.o. in het beeldvlak &quot;E. Hodel</p>
",Nederlands,remarks
3b4923cb-b5a9-57de-a287-b87cb036e34d,tg:lhps:33313,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Kleurenlithografie; ongeïdentificeerd monogram l.m. &quot;HM</p>
","<p>Kleurenlithografie; ongeïdentificeerd monogram l.m. &quot;HM</p>
",Nederlands,remarks
7655d389-a956-5d46-a4dd-ab38a26c2fdd,tg:lhps:31573,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Oude nummering NSM: E 18705</p>
","<p>Oude nummering NSM: E 18705</p>
",Nederlands,remarks
10e8ab92-3235-55fc-83ab-48225a124a81,tg:lhps:2322,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Oude nummering Volkskunde: 90.15.12</p>
","<p>Oude nummering Volkskunde: 90.15.12</p>
",Nederlands,remarks
5c210433-8bfa-5bc4-ad43-4198ff72304a,tg:lhps:11990,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Gesign. en gedat. r.o. &quot;J. Bosschaert 90</p>
","<p>Gesign. en gedat. r.o. &quot;J. Bosschaert 90</p>
",Nederlands,remarks
35d8e656-6cf5-58cb-b803-49c0a9d76a28,tg:lhps:30111,e73_AnnotationsImmaterial,1,note.lhalg,"<p>c foto: Luc Vleugels &amp; Pieter Huybrechts</p>
","<p>c foto: Luc Vleugels &amp; Pieter Huybrechts</p>
",Nederlands,remarks
67481e6b-470d-5fd9-ade1-9a9284d7431f,tg:lhps:32771,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Reclame voor de Nederlandsche Gist- en Spiritusfabriek, Delft</p>
<p>Kleurenlithografie; prent gesign. r.o. &quot;Leon Senf</p>
","<p>Reclame voor de Nederlandsche Gist- en Spiritusfabriek, Delft</p>
<p>Kleurenlithografie; prent gesign. r.o. &quot;Leon Senf</p>
",Nederlands,remarks
f81eeef2-ba47-5a9e-9744-109df1b67c05,tg:lhps:58026,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Affiche Cloaca Maxima</p>
","<p>Affiche Cloaca Maxima</p>
",Nederlands,remarks
5b9d33f7-5531-50c1-bb73-009a362238db,tg:lhps:11980,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Tekening: Jan Bosschaert; ontwerp: Griffo</p>
","<p>Tekening: Jan Bosschaert; ontwerp: Griffo</p>
",Nederlands,remarks
520fbe6b-8220-5c32-b40f-4fcc8d536169,tg:lhps:34345,e73_AnnotationsImmaterial,1,note.lhalg,"<p>Kleurenlithografie; gesign. l.o. &quot;Edm. van Offel&quot;<br />
pub: K. Scheerlinck, <em>Papieren Herauten</em>, p. 94-95, cat. 59<br />
Drie exempl.</p>
","<p>Kleurenlithografie; gesign. l.o. &quot;Edm. van Offel&quot;<br />
pub: K. Scheerlinck, <em>Papieren Herauten</em>, p. 94-95, cat. 59<br />
Drie exempl.</p>
",Nederlands,remarks
