ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,adm.uuid_mat,adm.acquiredVia,mpm_place_holder,Warehouse Location (begin),adm.isadPartOf,Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,Material,ire.isaar.uuid,ire.isaar.id,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Identifier,Object Type,col_source_field,mat_source_field,Material Colour,source_date,Restriction Type
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhsc:976_#1,https://data.letterenhuis.be/ark:/24970/002f61ae-3da1-5ccf-ba41-731b84871b97,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_AcquisitionNumbers,1,,,,41386,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_Acquisitions,1,tr:lh:2190,"dlod={""name"":""Archief van Karel Lodewijk Ledeganck uit de nalatenschap van Anna de Weert"",""ark"":""ark:/24970/x0/f757b041-1dd1-53bb-9f88-714267dede24"",""uri"":""/repositories/11/accessions/19216"",""id"":""tr:lh:2190"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/f757b041-1dd1-53bb-9f88-714267dede24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96773,"dlod={""name"":""Beeldhouwwerken"",""ark"":""ark:/24970/x0/b8dbaa1f-7c1b-562f-8c58-10f610063666"",""uri"":""/repositories/11/archival_objects/205934"",""id"":""isad:lh:96773"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Karel Lodewijk Ledeganck"",""resourceArk"":""ark:/24970/x0/3d6155f9-52e2-5e51-8c1b-f3c353595ef0"",""resourceURI"":""/repositories/11/resources/2674"",""resourceID"":""isad:lh:38033"",""capacity"":""Beeldhouwwerken"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b8dbaa1f-7c1b-562f-8c58-10f610063666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_Conditions,1,,,,,,note.lhconditie,"<ul>
<li>
<p>opp.vuil</p>
</li>
<li>
<p>vlekken: bruin, schimmel</p>
</li>
<li>
<p>krassen</p>
</li>
<li>
<p>schimmel</p>
</li>
</ul>
<p>(11/09/2001)</p>
",,,,,,,,"<ul>
<li>
<p>opp.vuil</p>
</li>
<li>
<p>vlekken: bruin, schimmel</p>
</li>
<li>
<p>krassen</p>
</li>
<li>
<p>schimmel</p>
</li>
</ul>
<p>(11/09/2001)</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatsc.lhformatwerksc,"h 25,5  b 16,5 d 13",,,,,,,,,,,,,,"h 25,5  b 16,5 d 13 - height, width, depth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,255,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,165,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_Dimensions,,,,,,,kenmerken/lhformatsc.lhformatwerksc,,,,,,,,,,,,130,diepte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002f61ae-3da1-5ccf-ba41-731b84871b97,tg:lhsc:976_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,lhsc,tg:lhsc:976_#1,K2 B 45 D,002f61ae-3da1-5ccf-ba41-731b84871b97,tr:lh:2190,41386,,isad:lh:96773,,,,,,,,,,,,,,,,,,,,,,,,
