ResourceID,brocade.id,card,order,note,title,volgnummer
af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,e22_OtherIdentifiers,1,De rol van de havenarbeider Lowie werd door de acteur Bernard Verheyden vertolkt.,,
af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,e22_OtherIdentifiers,1,,Havenarbeider 1,
5c4d7254-5ec1-5ef4-9c76-bb49eab66039,tg:lhaq:6846_#1,e22_OtherIdentifiers,1,"**Publicatie** KNS van Antwerpen, 98ste speeljaar, 1950-1951, eerste stuk van het seizoen; regie: Charles Gilhuys",,
cf1c21d3-10b9-576c-9324-43829367a984,tg:lhaq:8982_#1,e22_OtherIdentifiers,1,,3 muzikanten opera dansers,
644c36d3-ee56-5acc-a3c3-d466fbf97895,tg:lhaq:8992_#1,e22_OtherIdentifiers,1,,Moderne mensen,
16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,e22_OtherIdentifiers,1,De rol van Francesco werd door de acteur Leo Madder vertolkt.,,
16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,e22_OtherIdentifiers,1,,Francesco,
bb0fdf8b-9b06-5263-90c0-a5836ee4cadd,tg:lhaq:8754_#1,e22_OtherIdentifiers,1,,2 Soldiers (Wachter),
b26f81af-220c-57e9-89ef-938ae705c47f,tg:lhaq:8744_#1,e22_OtherIdentifiers,1,,Jessica as Christian.,
91eede34-4c9d-5e8a-bea0-15aee4bbb226,tg:lhaq:9138_#1,e22_OtherIdentifiers,1,"Decorontwerp uit map: ""Tooneelen voor Antonio van Herwig Hensen door L. Hendrickx 1942"".",,
91eede34-4c9d-5e8a-bea0-15aee4bbb226,tg:lhaq:9138_#1,e22_OtherIdentifiers,1,,Kamer van Antonio.,
9fa1d996-569c-56b9-8122-fb63df1190e4,tg:lhaq:9040_#1,e22_OtherIdentifiers,1,"Lode Sebregts ontwierp 20 keer het decor voor de Sinterklaasfeesten van ""Kindervreugd"".",,
