card,order,adm.acquiredVia,adm.id_mat,adm.inv,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,ResourceID,brocade.id,Source Note,Warehouse Location (begin),Volgnummer,Warehouse Location (end)
e22_Items,1,tr:lh:7404,tg:lhaq:21_#1,196085/1,isad:lh:95914,Planex GP / I 353,2e6f3398-d238-54c5-9ba6-a3683fbdf689,2e6f3398-d238-54c5-9ba6-a3683fbdf689,tg:lhaq:21_#1,,,,
e22_Items,1,tr:lh:7497,tg:lhaq:8853_#1,197408/64,isad:lh:95953,S 5621 / I (Doos 2),af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,af8e72bc-abcf-5d4d-8eb0-983dc5958ccd,tg:lhaq:8853_#1,De rol van de havenarbeider Lowie werd door de acteur Bernard Verheyden vertolkt.,,,
e22_Items,1,tr:lh:7497,tg:lhaq:9022_#1,197415/12,isad:lh:95953,S 5621 / I (Doos 3),080156ad-154c-5599-903c-10c1869ca364,080156ad-154c-5599-903c-10c1869ca364,tg:lhaq:9022_#1,,,,
e22_Items,1,tr:lh:7497,tg:lhaq:9032_#1,197415/34,isad:lh:95953,S 5621 / I (Doos 3),67b7df23-fea1-5e0f-b8da-aa7f8b8f918a,67b7df23-fea1-5e0f-b8da-aa7f8b8f918a,tg:lhaq:9032_#1,,,,
e22_Items,1,,tg:lhaq:8538_#1,215880/8,,Planex GT / T 159,fff6765a-0157-5677-98a7-736c82f8ddc5,fff6765a-0157-5677-98a7-736c82f8ddc5,tg:lhaq:8538_#1,,,,
e22_Items,1,tr:lh:7634,tg:lhaq:6846_#1,212577/2,isad:lh:132095,Planex GT 905,5c4d7254-5ec1-5ef4-9c76-bb49eab66039,5c4d7254-5ec1-5ef4-9c76-bb49eab66039,tg:lhaq:6846_#1,"**Publicatie** KNS van Antwerpen, 98ste speeljaar, 1950-1951, eerste stuk van het seizoen; regie: Charles Gilhuys",,,
e22_Items,1,tr:lh:7497,tg:lhaq:8982_#1,197413/4,isad:lh:95953,S 5621 / I (Doos 3),cf1c21d3-10b9-576c-9324-43829367a984,cf1c21d3-10b9-576c-9324-43829367a984,tg:lhaq:8982_#1,,,,
e22_Items,1,tr:lh:7497,tg:lhaq:8992_#1,197413/15,isad:lh:95953,S 5621 / I (Doos 3),644c36d3-ee56-5acc-a3c3-d466fbf97895,644c36d3-ee56-5acc-a3c3-d466fbf97895,tg:lhaq:8992_#1,,,,
e22_Items,1,tr:lh:7497,tg:lhaq:8888_#1,197408/96,isad:lh:95953,S 5621 / I (Doos 2),16673786-e4a5-5da6-a6f1-119ac19a27c6,16673786-e4a5-5da6-a6f1-119ac19a27c6,tg:lhaq:8888_#1,De rol van Francesco werd door de acteur Leo Madder vertolkt.,,,
e22_Items,1,,tg:lhaq:8754_#1,174222/10,,Planex GT / T 159,bb0fdf8b-9b06-5263-90c0-a5836ee4cadd,bb0fdf8b-9b06-5263-90c0-a5836ee4cadd,tg:lhaq:8754_#1,,,,
