ResourceID,brocade.id,card,order,Acquisition Number,Acquisition Number Type
6cd21eab-a733-5267-a493-ee75db4db261,tg:lhbr:14757_#1,e22_AcquisitionNumbers,1,93263/1a-b,aanwinst nummer
e78e8bd9-5f1d-5f20-b39b-8ad84d07bd98,tg:lhbr:80568_#1,e22_AcquisitionNumbers,1,158108,aanwinst nummer
47be3623-8b29-5f3e-a4bb-1aa189f06ff5,tg:lhbr:192912_#1,e22_AcquisitionNumbers,1,114686/79,aanwinst nummer
662adb5a-15d8-57dd-9fbc-9aeca0ec70ae,tg:lhbr:183780_#1,e22_AcquisitionNumbers,1,197214/432,aanwinst nummer
f9c34eae-edb1-5ba8-99d2-3384ab795fa8,tg:lhbr:147046_#1,e22_AcquisitionNumbers,1,147344/33,aanwinst nummer
43a4acf2-9354-5a83-ab8b-265ca2694378,tg:lhbr:155427_#1,e22_AcquisitionNumbers,1,31137/2,aanwinst nummer
228facf1-f641-51c3-8159-687b88366b3c,tg:lhbr:239732_#1,e22_AcquisitionNumbers,1,64925/12,aanwinst nummer
5c21411b-3abf-5c9f-b452-c086eb0cc200,tg:lhbr:230814_#1,e22_AcquisitionNumbers,1,201601/191a-b,aanwinst nummer
20da88b0-1cae-5caf-b7ce-7364d91a3c67,tg:lhbr:209049_#1,e22_AcquisitionNumbers,1,151780/6a-e,aanwinst nummer
93316040-f05d-59b9-9114-c0028fbc333d,tg:lhbr:221686_#1,e22_AcquisitionNumbers,1,210871/5,aanwinst nummer
3a888da5-c40f-5f7b-9732-037d1cd3e510,tg:lhbr:124837_#1,e22_AcquisitionNumbers,1,158592/133,aanwinst nummer
1ecdacf9-0815-5fd1-8d8d-f6add8c8e92b,tg:lhbr:189255_#1,e22_AcquisitionNumbers,1,72465/10,aanwinst nummer
cffcfb75-7f9b-503c-9c3c-2b65619343ae,tg:lhbr:96225_#1,e22_AcquisitionNumbers,1,69068/166,aanwinst nummer
4c0d860c-b0d5-57cd-b02d-924b2c0479dd,tg:lhbr:84644_#1,e22_AcquisitionNumbers,1,47200/68,aanwinst nummer
67688f96-8fa3-5f33-a643-052ae02ee57e,tg:lhbr:40182_#1,e22_AcquisitionNumbers,1,123748/7,aanwinst nummer
3fa42865-2c9e-5db4-b54d-7cef8f7a8b24,tg:lhbr:113693_#1,e22_AcquisitionNumbers,1,95553/2,aanwinst nummer
ae859f0b-b6a5-58a2-8e83-4ffad5fcdaf6,tg:lhbr:102801_#1,e22_AcquisitionNumbers,1,32669,aanwinst nummer
576043f7-5722-566b-85bc-d525fb88d031,tg:lhbr:140999_#1,e22_AcquisitionNumbers,1,148099/24,aanwinst nummer
3bdb6ccd-76b1-5ec6-baae-82430d8457ae,tg:lhbr:216822_#1,e22_AcquisitionNumbers,1,200358/289 a-b,aanwinst nummer
0b8ee9ff-67d5-59a8-9bb2-8b4798c7f294,tg:lhbr:4716_#1,e22_AcquisitionNumbers,1,92362/88,aanwinst nummer
390a362b-2f7e-5b70-bb0c-1c8710e8e3c1,tg:lhbr:62298_#1,e22_AcquisitionNumbers,1,144617/53a-d,aanwinst nummer
96abc8af-c0b1-5470-81a9-cf340a6db0eb,tg:lhbr:58036_#1,e22_AcquisitionNumbers,1,138728,aanwinst nummer
bb56d919-9a0c-5186-8ef3-1859a84d9193,tg:lhbr:20300_#1,e22_AcquisitionNumbers,1,161685/16,aanwinst nummer
80f4e193-e30c-508f-a22d-06f9429543e7,tg:lhbr:32761_#1,e22_AcquisitionNumbers,1,30249/34,aanwinst nummer
112d54ca-300a-5cdd-942f-b6ede5a005eb,tg:lhbr:173411_#1,e22_AcquisitionNumbers,1,177313/184,aanwinst nummer
1ada09f4-8511-5751-b21c-f3f7ed59d09e,tg:lhbr:161070_#1,e22_AcquisitionNumbers,1,140103/4,aanwinst nummer
0ed13936-40c9-5244-b555-c4d7cf4dbad5,tg:lhbr:131589_#1,e22_AcquisitionNumbers,1,105284/25,aanwinst nummer
94ed9095-2835-5a9b-aa85-7bf27d3a9435,tg:lhbr:119346_#1,e22_AcquisitionNumbers,1,123806/1191,aanwinst nummer
94cd28d6-847c-5ebc-8f6e-59d8a8bf68b6,tg:lhbr:275053_#1,e22_AcquisitionNumbers,1,202504/60a-b,aanwinst nummer
6ee4c61d-12eb-5ad4-a9a7-bcd237473b68,tg:lhbr:128137_#1,e22_AcquisitionNumbers,1,46827/6,aanwinst nummer
89c0e333-c67f-5fef-8a29-3a178f0a216d,tg:lhbr:112399_#1,e22_AcquisitionNumbers,1,83659/1,aanwinst nummer
a1fc191b-1a92-5cde-8e62-c11b05fa9504,tg:lhbr:150201_#1,e22_AcquisitionNumbers,1,130654/82,aanwinst nummer
c5ab3d8a-5c8a-5b1a-bab6-a891e537530d,tg:lhbr:205949_#1,e22_AcquisitionNumbers,1,150693/47,aanwinst nummer
392dcb78-2482-56f1-8e8a-f000c6725f2b,tg:lhbr:11171_#1,e22_AcquisitionNumbers,1,52531/255,aanwinst nummer
c284618b-16cb-5f03-a599-23e36666b337,tg:lhbr:69247_#1,e22_AcquisitionNumbers,1,119712/343,aanwinst nummer
03538048-7a0a-5865-b66a-d990321515ee,tg:lhbr:41488_#1,e22_AcquisitionNumbers,1,133567,aanwinst nummer
f8711931-bf18-5b17-8a93-c7648366be34,tg:lhbr:130083_#1,e22_AcquisitionNumbers,1,157807/73,aanwinst nummer
89ce8d2d-b2cf-51ea-9d7f-9134307f1ecd,tg:lhbr:72900_#1,e22_AcquisitionNumbers,1,125020/10,aanwinst nummer
8f8967a2-a0a1-5bc6-8fda-a9fdc7ba2504,tg:lhbr:63792_#1,e22_AcquisitionNumbers,1,126105/2,aanwinst nummer
