ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Creation Actor Role,Creation Actor Widget,Creation Actor Identifier,Creation Place Note,Creation Place Note Type,Creation Place Note Language,place_au_code,Creation Place Widget,Start Date,Start Date Type,source_field,Creation Time Span Source Note,source_code,Depicted Item Role,Depicted Item Widget,Depicted Item Identifier,Description,Description Type,Description Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,ISAAR Brocade ID,Original Entity Relation,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:98,https://data.museumplantinmoretus.be/ark:/11975/020d937c-b7b1-5ae0-9241-74fd925008ba,Foto's,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,Places,1,,,,,,[Leiden],remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8cc80461-6f0b-4c7d-9123-3b9d4fd75a58"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d0de5720-11e7-4ee3-a8a1-4361c69a2712"", ""inverseOntologyProperty"": """"}]"
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_CreationActors,1,0a7be828-2e65-544a-be43-c17268c049de,au::19884,originators (administrative),"dlod={""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/58488"",""id"":""au::19884"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,id/date.exposure/so,19600000,,,,,,,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_CreationTimeSpans,,,,,,,,,,,,1960,circa,,,,,,,,,,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_Descriptions,,,,,,,,,,,,,,id.desc,,,,,,"*Specimen typorum Johannis Elsevirii, academiae Lugduno-Batavae typographi, quos in sua typographia habet* (Johannes Elzevier, Leiden 1658)",descriptive note,Nederlands,,,,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,,e73_LegacyInformation,0,,,,,,,,,,,,,id.objectNumber,,,,,,,,,BE-ANN00/ph/000000087,referentienummer,False,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.id,,,,,,,,,tg:mpmph:98,brocade id,False,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,,e73_LegacyInformation,1,,,,,,,,,,,,,brocade.url,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmph:98/N,brocade url,False,,,,,,,,,,,,,
020d937c-b7b1-5ae0-9241-74fd925008ba,tg:mpmph:98,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""fe30a6aa-d431-5847-9e14-02977c4b1be2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""442965e9-d8a5-4970-ac45-ee456afd2f56"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmph:56,https://data.museumplantinmoretus.be/ark:/11975/028e6a97-ddf1-5311-86ec-ef5b357a7a4b,Foto's,,,,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""3f3e1494-a29b-46d9-935d-c02a625c258f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""02b82d53-3640-4cd9-8f36-bbc15a7a97ed"", ""inverseOntologyProperty"": """"}]"
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,2075,In Copyright,
028e6a97-ddf1-5311-86ec-ef5b357a7a4b,tg:mpmph:56,e73_CreationActors,1,0a7be828-2e65-544a-be43-c17268c049de,au::19884,originators (administrative),"dlod={""name"":""Hendrik Vervliet"",""ark"":""ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de"",""uri"":""/agents/people/58488"",""id"":""au::19884"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0a7be828-2e65-544a-be43-c17268c049de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
