ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Connected Subject Role,Connected Subject Widget,Connected Subject Identifier,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Widget,Start Date,End Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,source_field,Creation Time Span Source Note,Description,Description Type,Description Language,dataset,External Relation Note,External Relation,External Relation URL,External Relation URL Type,External Relation Note Language,External Relation Note Type,source_code,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,Change History Identifier,Change History Date,Change History User,Change History Description,Change History Activity
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:32,https://data.museumplantinmoretus.be/ark:/11975/00d08c3f-d02d-5604-bcb4-b1036cf771a6,Tekeningen,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_CreationActors,1,0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,au::15342,,,,artists (visual artists),,"dlod={""name"":""Erasmus II Quellinus"",""ark"":""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""uri"":""/agents/people/77046"",""id"":""au::15342"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_CreationTimeSpanSourceNotes,0,,,,,,,,,,,,,,,,,,id/date.creationdate/so,16360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_CreationTimeSpanSourceNotes,1,,,,,,,,,,,,,,,,,,id/date.creationdate/so,16370000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_CreationTimeSpans,,,,,,,,,,,,,1636,1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Descriptions,,,,,,,,,,,,,,,,,,,id.desc,,"Een gehelmde figuur, die leunt op het wapen van de stad Dole, biedt koning Filips IV de overwinningskrans aan",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,mpmtk,,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:495262,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,,e73_LegacyInformation,0,,,,,,,,,,,,,,,,,,id.objectNumber,,,,,,,,,,,,,,BE-ANN00/tk/000000015,referentienummer,False,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,,e73_LegacyInformation,1,,,,,,,,,,,,,,,,,,brocade.id,,,,,,,,,,,,,,tg:mpmtk:32,brocade id,False,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,,e73_LegacyInformation,1,,,,,,,,,,,,,,,,,,brocade.url,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:32/N,brocade url,False,,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d17dbec0-62a7-4237-83b5-cc681e82fb8c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Titles,1,,,,,,,,,,,,,,,,,,id.title/ti,,,,,,,,,,,,,,,,,,,,,,"Ontwerp voor de titelpagina van Jean Boyvin, Le siege de la ville de Dole",titles proper,Dutch (language),,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-20 15:51:58 +0000 UTC,dimhof,,Creatie
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068851,2018-03-20 15:51:58 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068852,2018-03-20 15:51:58 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068853,2018-03-20 15:51:58 +0000 UTC,dimhof,Bewerken van de kenmerken,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068857,2018-03-20 15:51:58 +0000 UTC,dimhof,Bewerken van de ISAAR relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068858,2018-03-20 15:51:58 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068950,2018-03-20 15:53:20 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068951,2018-03-20 15:53:20 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068957,2018-03-20 15:53:20 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068959,2018-03-20 15:53:58 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068960,2018-03-20 15:53:58 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068966,2018-03-20 15:53:58 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068968,2018-03-20 15:56:27 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068969,2018-03-20 15:56:27 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068971,2018-03-20 15:56:27 +0000 UTC,dimhof,Bewerken van de annotaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068975,2018-03-20 15:56:27 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068977,2018-03-20 15:58:51 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068978,2018-03-20 15:58:51 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068980,2018-03-20 15:58:51 +0000 UTC,dimhof,Bewerken van de annotaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068984,2018-03-20 15:58:51 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068986,2018-03-20 16:00:20 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068987,2018-03-20 16:00:20 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068989,2018-03-20 16:00:20 +0000 UTC,dimhof,Bewerken van de annotaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068991,2018-03-20 16:00:20 +0000 UTC,dimhof,Bewerken van de illustraties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068993,2018-03-20 16:00:20 +0000 UTC,dimhof,Bewerken van de externe relaties,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068995,2018-03-20 16:00:42 +0000 UTC,dimhof,Bewerken van de identificatie,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068996,2018-03-20 16:00:42 +0000 UTC,dimhof,Bewerken van de items,edit
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Transaction_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11068998,2018-03-20 16:00:42 +0000 UTC,dimhof,Bewerken van de annotaties,edit
