ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,dataset,Associated Record Note,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,related_uuid,Associated Record,ire.isaar.uuid,ire.isaar.id,Connected Subject Role,Connected Subject Widget,Connected Subject Identifier,source role,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,place_au_code,Creation Place Widget,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Note,End Date Note Type,End Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Genre Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,ISAAR Brocade ID,Original Entity Type,Original Entity Widget,Original Entity Identifier,Keeper,Object Number,Object Identifier,Record Type,Title,Title Type,Title Language,source_date,Copyright Revision Date,Copyright Type,Transactions
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:689,https://data.museumplantinmoretus.be/ark:/11975/003cbcab-20e6-5677-a93d-c0e024fab06f,Registers,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_AnnotationsImmaterial,1,note.mpmalg,"<p>Het aan dit brievenboek voorafgaande boek bevindt zich in het archief van Max Rooses in het Letterenhuis: <a href=""https://anet.be/isadtree/letterenhuis/opaclhisad/isad:lh:169768"">R 704 / 277, &quot;Commissie der Werken van Rubens / Brieven kladboek / 1880-1891&quot;</a>.</p>
","<p>Het aan dit brievenboek voorafgaande boek bevindt zich in het archief van Max Rooses in het Letterenhuis: <a href=""https://anet.be/isadtree/letterenhuis/opaclhisad/isad:lh:169768"">R 704 / 277, &quot;Commissie der Werken van Rubens / Brieven kladboek / 1880-1891&quot;</a>.</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cc3fb07f-44d1-4474-bf00-24e132ccf8e2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d1512efe-8b59-4b30-86f8-07ccef49ae06"", ""inverseOntologyProperty"": """"}]"
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,2007,No Copyright - Public Domain Mark 1.0,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_CreationActors,1,,,,,,,,,,,,,148db1af-d0d7-5dab-b6c8-c4b773a252a7,au::16015:::CVV.1,,,,av,originators (administrative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_CreationActors,2,,,,,,,,,,,,,16c71abb-44e5-5c4b-98d1-37d3c1facd73,au::113264:::MWV.1,,,,av,originators (administrative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18920414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19090915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,1892-04-14,,1909-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nota's voor verslagen, kladbrieven en afrekeningen door Rooses (en Gilbert).",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_Languages,1,kenmerken.mpmlanguage,dut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch (language),,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_Languages,2,kenmerken.mpmlanguage,fre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French (language),,,,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/re/000000676,referentienummer,False,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmre:689,brocade id,False,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmre:689/N,brocade url,False,,,,,,,,,,,,,,,,
003cbcab-20e6-5677-a93d-c0e024fab06f,tg:mpmre:689,e73_MaterialRecords,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""aa30328b-50fa-5978-9daa-8f6571e00c9e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7e69e475-0961-418d-9fe9-bfc71b39ca0c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
